bank_txn_id,value_date,description,credit_paise,debit_paise,balance_paise,utr
BNK000001,2026-08-11,TRF FROM RAZORPAY SOFTWARE PVT LTD,1004401,,26004401,
BNK000002,2026-08-12,IMPS/RZP376725946/RAZORPAY/SETTLEMENT,2127237,,28131638,RZP376725946
BNK000003,2026-08-13,IMPS/RZP196215509/RAZORPAY/SETTLEMENT,493835,,28625473,RZP196215509
BNK000004,2026-08-13,ACH C- RAZORPAY SOFT PVT LTD-RZP879978972-COLLECT,420000,,29045473,
BNK000005,2026-08-14,NEFT CR-ICIC0000456-RAZORPAY SOFTWARE PVT LTD-RZP941847528,450405,,29495878,RZP941847528
BNK000006,2026-08-16,NEFT-RZP813326083-RAZORPAY SOFTWARE PRIVATE LIMITED,275000,,29770878,RZP813326083
BNK000007,2026-08-17,NEFT-RZP925395882-RAZORPAY SOFTWARE PRIVATE LIMITED,,307868,29463010,RZP925395882
BNK000008,2026-08-17,TRF FROM RAZORPAY SOFTWARE PVT LTD,802541,,30265551,
BNK000009,2026-08-17,NEFT-RZP415355431-RAZORPAY SOFTWARE PRIVATE LIMITED,2422047,,32687598,RZP415355431
BNK000010,2026-08-18,NEFT-RZP652707783-RAZORPAY SOFTWARE PRIVATE LIMITED,2046362,,34733960,RZP652707783
BNK000011,2026-08-19,IMPS/RZP689405588/RAZORPAY/SETTLEMENT,2040667,,36774627,RZP689405588
BNK000012,2026-08-20,IMPS/RZP454746149/RAZORPAY/SETTLEMENT,3558215,,40332842,RZP454746149
BNK000014,2026-08-24,NEFT-RZP780069974-RAZORPAY SOFTWARE PRIVATE LIMITED,24312,,41079883,RZP780069974
BNK000015,2026-08-24,NEFT-CR-UTIB0000789-RZPYSETTL-RZP 0684 69072,,1264900,39814983,
BNK000016,2026-09-01,NEFT-RZP315571086-RAZORPAY SOFTWARE PRIVATE LIMITED,,134000,39680983,RZP315571086
BNK000017,2026-09-08,IMPS/RZP291422089/RAZORPAY/SETTLEMENT,,104050,39576933,RZP291422089
BNK000018,2026-09-14,TRF FROM RAZORPAY SOFTWARE PVT LTD,,134099,39442834,
