txn_id,txn_type,order_ref,gross_amount_paise,fee_paise,gst_on_fee_paise,net_amount_paise,txn_datetime,settlement_id,payment_method,status
pay_000022,payment,ORD4021,45000,0,0,45000,2026-08-10T09:59:00,setl_0000,upi,captured
pay_000112,payment,ORD4111,45000,810,146,44044,2026-08-10T10:09:00,setl_0000,wallet,captured
pay_000120,payment,ORD4119,120000,0,0,120000,2026-08-10T10:50:00,setl_0000,upi,captured
pay_000028,payment,ORD4027,575000,0,0,575000,2026-08-10T11:04:00,setl_0000,upi,captured
pay_000089,payment,ORD4088,75000,2000,270,72730,2026-08-10T17:09:00,setl_0000,card,captured
pay_000115,payment,ORD4114,34900,0,0,34900,2026-08-10T17:47:00,setl_0000,upi,captured
pay_000018,payment,ORD4017,89900,1798,324,87778,2026-08-10T18:46:00,setl_0000,card,captured
pay_000072,payment,ORD4071,24950,1,0,24949,2026-08-10T20:55:00,setl_0000,upi,captured
pay_000034,payment,ORD4033,249900,4498,810,244592,2026-08-11T08:41:00,setl_0001,wallet,captured
pay_000008,payment,ORD4007,45000,1200,216,43584,2026-08-11T08:42:00,setl_0001,netbanking,captured
pay_000044,payment,ORD4043,45000,810,146,44044,2026-08-11T09:34:00,setl_0001,wallet,refunded
pay_000023,payment,ORD4022,24999,500,90,24409,2026-08-11T09:46:00,setl_0001,card,captured
pay_000078,payment,ORD4077,29900,0,0,29900,2026-08-11T10:09:00,setl_0001,upi,captured
pay_000032,payment,ORD4031,75000,0,0,75000,2026-08-11T11:12:00,setl_0001,upi,captured
pay_000103,payment,ORD4102,34900,698,126,34076,2026-08-11T12:14:00,setl_0001,card,captured
pay_000019,payment,ORD4018,19900,0,0,0,2026-08-11T12:27:00,,wallet,failed
pay_000006,payment,ORD4005,45000,900,162,43938,2026-08-11T13:54:00,setl_0001,card,refunded
pay_000007,payment,ORD4006,120000,2400,432,117168,2026-08-11T14:05:00,setl_0001,card,captured
pay_000096,payment,ORD4095,75000,0,0,75000,2026-08-11T14:23:00,setl_0001,upi,captured
pay_000056,payment,ORD4055,75000,0,0,76000,2026-08-11T14:55:00,setl_0001,upi,captured
pay_000093,payment,ORD4092,34900,698,126,34076,2026-08-11T17:44:00,setl_0001,card,captured
pay_000118,payment,ORD4117,1250000,25000,4500,1220500,2026-08-11T18:14:00,setl_0001,card,captured
pay_000049,payment,ORD4048,19900,0,0,19900,2026-08-11T18:27:00,setl_0001,upi,captured
pay_000051,payment,ORD4050,19900,0,0,0,2026-08-11T19:57:00,,card,failed
pay_000064,payment,ORD4063,45050,0,0,45050,2026-08-11T19:57:00,setl_0001,upi,captured
pay_000116,payment,ORD4115,29900,0,0,29900,2026-08-12T11:11:00,setl_0002,upi,captured
