order_id,order_amount_paise,currency,order_datetime,customer_id,order_status,payment_method
ORD4021,45000,INR,2026-08-10T09:59:00,CUST1290,paid,upi
ORD4111,45000,INR,2026-08-10T10:09:00,CUST1060,paid,wallet
ORD4119,120000,INR,2026-08-10T10:50:00,CUST1239,paid,upi
ORD4027,575000,INR,2026-08-10T11:04:00,CUST1121,paid,upi
ORD4088,75000,INR,2026-08-10T17:09:00,CUST1111,paid,card
ORD4026,34900,INR,2026-08-10T17:35:00,CUST1323,paid,upi
ORD4114,34900,INR,2026-08-10T17:47:00,CUST1041,paid,upi
ORD4017,89900,INR,2026-08-10T18:46:00,CUST1174,paid,card
ORD4071,24950,INR,2026-08-10T20:55:00,CUST1356,paid,upi
ORD4033,249900,INR,2026-08-11T08:41:00,CUST1385,paid,wallet
ORD4007,45000,INR,2026-08-11T08:42:00,CUST1051,paid,netbanking
ORD4043,45000,INR,2026-08-11T09:34:00,CUST1035,refunded,wallet
ORD4022,24999,INR,2026-08-11T09:46:00,CUST1065,paid,card
ORD4077,29900,INR,2026-08-11T10:09:00,CUST1208,paid,upi
ORD4031,75000,INR,2026-08-11T11:12:00,CUST1142,paid,upi
ORD4102,34900,INR,2026-08-11T12:14:00,CUST1188,paid,card
ORD4018,19900,INR,2026-08-11T12:27:00,CUST1390,failed,wallet
ORD4005,45000,INR,2026-08-11T13:54:00,CUST1274,refunded,card
ORD4006,120000,INR,2026-08-11T14:05:00,CUST1360,paid,card
ORD4095,75000,INR,2026-08-11T14:23:00,CUST1375,paid,upi
ORD4055,75000,INR,2026-08-11T14:55:00,CUST1235,paid,upi
ORD4092,34900,INR,2026-08-11T17:44:00,CUST1154,paid,card
ORD4117,1250000,INR,2026-08-11T18:14:00,CUST1101,paid,card
ORD4048,19900,INR,2026-08-11T18:27:00,CUST1066,paid,upi
ORD4050,19900,INR,2026-08-11T19:57:00,CUST1075,failed,card
ORD4063,45050,INR,2026-08-11T19:57:00,CUST1356,paid,upi
ORD4115,29900,INR,2026-08-12T11:11:00,CUST1352,paid,upi
ORD4107,29900,INR,2026-08-12T12:00:00,CUST1027,paid,upi
ORD4099,45000,INR,2026-08-12T15:13:00,CUST1305,refunded,upi
ORD4019,45099,INR,2026-08-12T16:58:00,CUST1078,paid,card
ORD4059,120050,INR,2026-08-12T17:16:00,CUST1160,paid,upi
ORD4067,120000,INR,2026-08-12T18:05:00,CUST1384,paid,upi
ORD4053,59900,INR,2026-08-12T20:51:00,CUST1170,paid,upi
ORD4084,45050,INR,2026-08-12T21:29:00,CUST1232,paid,upi
ORD4034,34950,INR,2026-08-13T10:26:00,CUST1084,paid,netbanking
ORD4002,89900,INR,2026-08-13T11:32:00,CUST1359,paid,card
ORD4044,89900,INR,2026-08-13T13:18:00,CUST1334,paid,card
ORD4040,24950,INR,2026-08-13T17:38:00,CUST1289,paid,card
ORD4087,19900,INR,2026-08-13T18:04:00,CUST1102,paid,wallet
ORD4068,34900,INR,2026-08-13T18:19:00,CUST1125,paid,upi
ORD4047,45099,INR,2026-08-13T19:21:00,CUST1026,paid,upi
ORD4070,59900,INR,2026-08-13T19:44:00,CUST1352,paid,upi
ORD4098,59900,INR,2026-08-13T20:29:00,CUST1166,paid,upi
ORD4075,89950,INR,2026-08-13T21:40:00,CUST1140,paid,card
ORD4046,89900,INR,2026-08-14T09:56:00,CUST1309,paid,upi
ORD4104,34900,INR,2026-08-14T12:16:00,CUST1274,paid,upi
ORD4064,59900,INR,2026-08-14T16:08:00,CUST1154,failed,card
ORD4028,29999,INR,2026-08-14T18:31:00,CUST1124,paid,card
ORD4014,120050,INR,2026-08-14T19:37:00,CUST1070,paid,upi
ORD4086,89900,INR,2026-08-14T21:05:00,CUST1179,paid,wallet
ORD4080,59999,INR,2026-08-15T12:48:00,CUST1279,paid,card
ORD4056,34900,INR,2026-08-15T12:52:00,CUST1098,paid,upi
ORD4085,575000,INR,2026-08-15T13:48:00,CUST1215,paid,card
ORD4025,24900,INR,2026-08-15T15:57:00,CUST1173,paid,upi
ORD4078,34950,INR,2026-08-15T16:29:00,CUST1394,paid,upi
ORD4020,89900,INR,2026-08-15T20:10:00,CUST1250,paid,card
ORD4035,75000,INR,2026-08-16T08:24:00,CUST1374,paid,upi
ORD4061,1250000,INR,2026-08-16T08:33:00,CUST1379,paid,card
ORD4118,29900,INR,2026-08-16T09:34:00,CUST1036,refunded,card
ORD4051,19900,INR,2026-08-16T10:02:00,CUST1127,paid,upi
ORD4012,120000,INR,2026-08-16T12:04:00,CUST1255,paid,upi
ORD4008,49900,INR,2026-08-16T12:29:00,CUST1107,paid,upi
ORD4057,575000,INR,2026-08-16T13:17:00,CUST1260,paid,upi
ORD4065,45000,INR,2026-08-16T16:53:00,CUST1296,paid,upi
ORD4016,120050,INR,2026-08-16T17:04:00,CUST1283,paid,upi
ORD4060,120000,INR,2026-08-16T17:32:00,CUST1362,paid,upi
ORD4013,29900,INR,2026-08-16T18:29:00,CUST1275,paid,card
ORD4058,19900,INR,2026-08-16T18:53:00,CUST1133,refunded,netbanking
ORD4054,399900,INR,2026-08-16T20:42:00,CUST1359,paid,upi
ORD4074,29950,INR,2026-08-16T21:58:00,CUST1384,paid,upi
ORD4076,45000,INR,2026-08-17T09:45:00,CUST1276,paid,upi
ORD4110,75000,INR,2026-08-17T09:52:00,CUST1351,failed,card
ORD4032,899900,INR,2026-08-17T11:55:00,CUST1281,paid,card
ORD4113,899900,INR,2026-08-17T15:19:00,CUST1317,paid,upi
ORD4103,89900,INR,2026-08-17T16:33:00,CUST1232,paid,upi
ORD4101,75050,INR,2026-08-17T16:48:00,CUST1008,paid,upi
ORD4069,75050,INR,2026-08-17T17:54:00,CUST1294,paid,netbanking
ORD4089,29999,INR,2026-08-17T19:16:00,CUST1382,paid,card
ORD4029,24950,INR,2026-08-17T20:26:00,CUST1210,paid,upi
ORD4030,24900,INR,2026-08-17T21:46:00,CUST1173,paid,upi
ORD4045,45000,INR,2026-08-18T08:42:00,CUST1068,paid,wallet
ORD4083,120000,INR,2026-08-18T08:58:00,CUST1219,paid,upi
ORD4108,899900,INR,2026-08-18T12:44:00,CUST1006,paid,upi
ORD4041,49900,INR,2026-08-18T13:59:00,CUST1067,paid,upi
ORD4003,45000,INR,2026-08-18T14:14:00,CUST1081,paid,card
ORD4072,24950,INR,2026-08-18T15:03:00,CUST1237,paid,upi
ORD4015,24900,INR,2026-08-18T15:05:00,CUST1348,paid,card
ORD4106,399900,INR,2026-08-18T17:18:00,CUST1184,paid,upi
ORD4096,89950,INR,2026-08-18T18:17:00,CUST1374,paid,upi
ORD4036,34900,INR,2026-08-18T18:45:00,CUST1029,paid,upi
ORD4010,59900,INR,2026-08-18T19:15:00,CUST1327,paid,wallet
ORD4112,120000,INR,2026-08-18T20:26:00,CUST1194,paid,card
ORD4024,45050,INR,2026-08-18T20:46:00,CUST1332,paid,wallet
ORD4038,89900,INR,2026-08-18T21:33:00,CUST1035,paid,netbanking
ORD4039,899900,INR,2026-08-19T09:43:00,CUST1291,paid,upi
ORD4081,59950,INR,2026-08-19T11:31:00,CUST1172,paid,upi
ORD4097,249900,INR,2026-08-19T12:20:00,CUST1230,paid,upi
ORD4109,49900,INR,2026-08-19T12:30:00,CUST1129,paid,wallet
ORD4116,45000,INR,2026-08-19T15:18:00,CUST1232,paid,card
ORD4066,75000,INR,2026-08-19T18:20:00,CUST1376,paid,upi
ORD4091,899900,INR,2026-08-19T18:58:00,CUST1101,paid,wallet
ORD4079,1250000,INR,2026-08-19T19:01:00,CUST1003,refunded,upi
ORD4037,49900,INR,2026-08-19T19:34:00,CUST1244,paid,upi
ORD4000,34900,INR,2026-08-20T09:01:00,CUST1052,paid,upi
ORD4052,59999,INR,2026-08-20T09:22:00,CUST1121,paid,card
ORD4049,89950,INR,2026-08-20T12:10:00,CUST1057,failed,card
ORD4009,249900,INR,2026-08-20T12:44:00,CUST1087,paid,card
ORD4094,49900,INR,2026-08-20T13:04:00,CUST1250,paid,netbanking
ORD4023,89999,INR,2026-08-20T15:35:00,CUST1108,paid,upi
ORD4073,75099,INR,2026-08-20T16:35:00,CUST1258,paid,card
ORD4093,120000,INR,2026-08-20T17:51:00,CUST1219,paid,upi
ORD4042,24900,INR,2026-08-20T18:19:00,CUST1288,paid,upi
ORD4082,29950,INR,2026-08-20T18:51:00,CUST1318,paid,netbanking
ORD4001,120050,INR,2026-08-20T19:57:00,CUST1047,paid,upi
ORD4090,45000,INR,2026-08-21T09:49:00,CUST1159,paid,card
ORD4105,75000,INR,2026-08-21T10:12:00,CUST1389,paid,card
ORD4100,34900,INR,2026-08-21T12:35:00,CUST1208,paid,upi
ORD4004,34900,INR,2026-08-21T14:21:00,CUST1194,paid,upi
