settlement_id,capture_date,payout_date,total_paise,utr
setl_0000,2026-08-10,2026-08-11,1004401,RZP394596541
setl_0001,2026-08-11,2026-08-12,2127237,RZP376725946
setl_0002,2026-08-12,2026-08-13,493835,RZP196215509
setl_0003,2026-08-13,2026-08-14,450405,RZP941847528
setl_0004,2026-08-14,2026-08-17,-307868,RZP925395882
setl_0005,2026-08-15,2026-08-17,802541,RZP749582259
setl_0006,2026-08-16,2026-08-17,2422047,RZP415355431
setl_0007,2026-08-17,2026-08-18,2046362,RZP652707783
setl_0008,2026-08-18,2026-08-19,2040667,RZP689405588
setl_0009,2026-08-19,2026-08-20,3558215,RZP454746149
setl_0010,2026-08-20,2026-08-21,722729,RZP366888337
setl_0011,2026-08-21,2026-08-24,24312,RZP780069974
setl_0012,2026-08-22,2026-08-24,-1264900,RZP068469072
setl_0013,2026-08-31,2026-09-01,-134000,RZP315571086
setl_0014,2026-09-07,2026-09-08,-104050,RZP291422089
setl_0015,2026-09-11,2026-09-14,-134099,RZP614356428
