bank_txn_id,value_date,description,credit_paise,debit_paise,balance_paise,utr
BNK000002,2026-08-12,NEFT-RZP876430107-RAZORPAY SOFTWARE PRIVATE LIMITED,139900,,26467709,RZP876430107
BNK000003,2026-08-13,NEFT CR-UTIB0000789-RAZORPAY SOFTWARE PVT LTD-RZP210886222,162200,,26629909,RZP210886222
BNK000004,2026-08-14,NEFT-CR-ICIC0000456-RZPYSETTL-RZP 4142 99529,,11870,26618039,
BNK000005,2026-08-15,NEFT-RZP591858728-RAZORPAY SOFTWARE PRIVATE LIMITED,420000,,27038039,RZP591858728
BNK000006,2026-08-17,IMPS/RZP330345250/RAZORPAY/SETTLEMENT,734990,,27773029,RZP330345250
BNK000007,2026-08-17,NEFT-RZP203003255-RAZORPAY SOFTWARE PRIVATE LIMITED,1168403,,28941432,RZP203003255
BNK000008,2026-08-17,NEFT-RZP767833917-RAZORPAY SOFTWARE PRIVATE LIMITED,1067250,,30008682,RZP767833917
BNK000009,2026-08-18,NEFT-CR-UTIB0000789-RZPYSETTL-RZP 6088 67815,932390,,30941072,
BNK000010,2026-08-19,NEFT CR-ICIC0000456-RAZORPAY SOFTWARE PVT LTD-RZP588858662,219330,,31160402,RZP588858662
BNK000011,2026-08-20,NEFT-RZP013185666-RAZORPAY SOFTWARE PRIVATE LIMITED,1192501,,32352903,RZP013185666
BNK000012,2026-08-20,NEFT-RZP004431338-RAZORPAY SOFTWARE PRIVATE LIMITED,275000,,32627903,RZP004431338
BNK000013,2026-08-21,IMPS/RZP407755607/RAZORPAY/SETTLEMENT,59950,,32687853,RZP407755607
BNK000014,2026-08-24,IMPS/RZP202727943/RAZORPAY/SETTLEMENT,75000,,32762853,RZP202727943
BNK000015,2026-08-24,NEFT CR RAZORPAY SOFTWA RZP46766,,37500,32725353,
BNK000016,2026-09-07,NEFT-RZP350026662-RAZORPAY SOFTWARE PRIVATE LIMITED,,179000,32546353,RZP350026662
BNK000017,2026-09-07,NEFT CR-UTIB0000789-RAZORPAY SOFTWARE PVT LTD-RZP544181990,,108900,32437453,RZP544181990
BNK000018,2026-09-11,NEFT-RZP489422925-RAZORPAY SOFTWARE PRIVATE LIMITED,,118950,32318503,RZP489422925
