txn_id,txn_type,order_ref,gross_amount_paise,fee_paise,gst_on_fee_paise,net_amount_paise,txn_datetime,settlement_id,payment_method,status
pay_000057,payment,ORD4056,19950,0,0,19950,2026-08-10T13:35:00,setl_0000,upi,refunded
pay_000002,payment,ORD4001,59950,0,0,0,2026-08-10T16:13:00,,upi,failed
pay_000004,payment,ORD4003,34900,848,126,33926,2026-08-10T17:37:00,setl_0000,card,captured
pay_000043,payment,ORD4042,1250000,25001,4500,1220499,2026-08-10T19:22:00,setl_0000,card,captured
pay_000059,payment,ORD4058,29950,1200,216,28534,2026-08-10T20:11:00,setl_0000,netbanking,refunded
pay_000029,payment,ORD4028,24900,0,0,24900,2026-08-10T20:33:00,setl_0000,upi,captured
pay_000034,payment,ORD4033,34900,0,0,34900,2026-08-11T11:06:00,setl_0001,upi,captured
pay_000007,payment,ORD4006,75099,0,0,75099,2026-08-11T17:03:00,setl_0001,upi,captured
pay_000038,payment,ORD4037,29900,-1,0,29901,2026-08-11T19:10:00,setl_0001,upi,captured
pay_000040,payment,ORD4039,24999,0,0,0,2026-08-12T08:00:00,,card,failed
pay_000006,payment,ORD4005,34900,150,0,34750,2026-08-12T09:37:00,setl_0002,upi,captured
pay_000046,payment,ORD4045,24999,0,0,24999,2026-08-12T10:30:00,setl_0002,upi,captured
rfnd_000063,refund,ORD4056,-19950,0,0,-19950,2026-08-12T13:35:00,setl_0002,upi,processed
pay_000020,payment,ORD4019,120000,2160,389,117451,2026-08-12T14:34:00,setl_0002,wallet,refunded
pay_000015,payment,ORD4014,34900,0,0,34900,2026-08-12T17:07:00,setl_0002,upi,captured
rfnd_000065,refund,ORD4058,-29950,0,0,-29950,2026-08-12T20:11:00,setl_0002,netbanking,processed
pay_000009,payment,ORD4008,75000,1500,270,73230,2026-08-13T09:36:00,setl_0003,card,captured
rfnd_000064,refund,ORD4019,-120000,0,0,-120000,2026-08-13T14:34:00,setl_0003,wallet,processed
pay_000019,payment,ORD4018,120000,0,0,0,2026-08-13T18:14:00,,upi,failed
pay_000031,payment,ORD4030,34900,0,0,34900,2026-08-13T20:15:00,setl_0003,upi,captured
pay_000048,payment,ORD4047,75099,0,0,75099,2026-08-14T08:49:00,setl_0004,upi,captured
pay_000026,payment,ORD4025,24900,1200,216,23484,2026-08-14T13:38:00,setl_0004,netbanking,captured
pay_000005,payment,ORD4004,120000,2400,432,117168,2026-08-14T14:09:00,setl_0004,card,captured
pay_000060,payment,ORD4059,89999,0,0,0,2026-08-14T14:09:00,,upi,failed
pay_000050,payment,ORD4049,75099,1352,243,73504,2026-08-14T15:32:00,setl_0004,wallet,captured
pay_000013,payment,ORD4012,19900,398,72,19430,2026-08-14T15:44:00,setl_0004,card,captured
pay_000058,payment,ORD4057,34900,0,0,34900,2026-08-14T16:04:00,setl_0004,upi,captured
pay_000074,payment,ORD4057,34900,0,0,34900,2026-08-14T16:05:12,,upi,voided
pay_000053,payment,ORD4052,399900,7199,1296,391405,2026-08-14T20:07:00,setl_0004,wallet,captured
pay_000037,payment,ORD4036,899900,0,0,899900,2026-08-15T09:51:00,setl_0005,upi,captured
pay_000001,payment,ORD4000,24999,-1,0,25000,2026-08-15T10:25:00,setl_0005,upi,captured
pay_000033,payment,ORD4032,575000,0,0,0,2026-08-15T15:51:00,,wallet,failed
pay_000018,payment,ORD4017,34900,225,0,34675,2026-08-15T18:56:00,setl_0005,upi,captured
pay_000012,payment,ORD4011,120050,0,0,121050,2026-08-15T19:22:00,setl_0005,upi,captured
pay_000030,payment,ORD4029,89900,1798,324,87778,2026-08-15T20:14:00,setl_0005,card,captured
pay_000075,payment,ORD4029,89900,1798,324,87778,2026-08-15T20:15:34,,card,voided
pay_000023,payment,ORD4022,34950,0,0,34950,2026-08-16T08:12:00,setl_0006,upi,captured
pay_000011,payment,ORD4010,89999,1800,324,87875,2026-08-16T08:42:00,setl_0006,card,captured
pay_000055,payment,ORD4054,399900,0,0,399900,2026-08-16T15:10:00,setl_0006,upi,captured
pay_000052,payment,ORD4051,34950,225,0,34725,2026-08-16T15:20:00,setl_0006,upi,captured
pay_000036,payment,ORD4035,75000,0,0,75000,2026-08-16T20:45:00,setl_0006,upi,captured
pay_000041,payment,ORD4040,34900,0,0,34900,2026-08-16T21:12:00,setl_0006,upi,captured
pay_000044,payment,ORD4043,399900,0,0,399900,2026-08-16T21:58:00,setl_0006,upi,refunded
