order_id,order_amount_paise,currency,order_datetime,customer_id,order_status,payment_method
ORD4056,19950,INR,2026-08-10T13:35:00,CUST1319,refunded,upi
ORD4001,59950,INR,2026-08-10T16:13:00,CUST1046,failed,upi
ORD4003,34900,INR,2026-08-10T17:37:00,CUST1068,paid,card
ORD4042,1250000,INR,2026-08-10T19:22:00,CUST1264,paid,card
ORD4058,29950,INR,2026-08-10T20:11:00,CUST1346,refunded,netbanking
ORD4028,24900,INR,2026-08-10T20:33:00,CUST1085,paid,upi
ORD4033,34900,INR,2026-08-11T11:06:00,CUST1319,paid,upi
ORD4006,75099,INR,2026-08-11T17:03:00,CUST1160,paid,upi
ORD4037,29900,INR,2026-08-11T19:10:00,CUST1238,paid,upi
ORD4039,24999,INR,2026-08-12T08:00:00,CUST1071,failed,card
ORD4005,34900,INR,2026-08-12T09:37:00,CUST1364,paid,upi
ORD4045,24999,INR,2026-08-12T10:30:00,CUST1349,paid,upi
ORD4019,120000,INR,2026-08-12T14:34:00,CUST1353,refunded,wallet
ORD4014,34900,INR,2026-08-12T17:07:00,CUST1126,paid,upi
ORD4008,75000,INR,2026-08-13T09:36:00,CUST1147,paid,card
ORD4018,120000,INR,2026-08-13T18:14:00,CUST1002,failed,upi
ORD4030,34900,INR,2026-08-13T20:15:00,CUST1182,paid,upi
ORD4047,75099,INR,2026-08-14T08:49:00,CUST1032,paid,upi
ORD4025,24900,INR,2026-08-14T13:38:00,CUST1238,paid,netbanking
ORD4004,120000,INR,2026-08-14T14:09:00,CUST1349,paid,card
ORD4059,89999,INR,2026-08-14T14:09:00,CUST1167,failed,upi
ORD4049,75099,INR,2026-08-14T15:32:00,CUST1357,paid,wallet
ORD4012,19900,INR,2026-08-14T15:44:00,CUST1348,paid,card
ORD4057,34900,INR,2026-08-14T16:04:00,CUST1139,paid,upi
ORD4052,399900,INR,2026-08-14T20:07:00,CUST1329,paid,wallet
ORD4036,899900,INR,2026-08-15T09:51:00,CUST1380,paid,upi
ORD4000,24999,INR,2026-08-15T10:25:00,CUST1298,paid,upi
ORD4032,575000,INR,2026-08-15T15:51:00,CUST1186,failed,wallet
ORD4017,34900,INR,2026-08-15T18:56:00,CUST1077,paid,upi
ORD4011,120050,INR,2026-08-15T19:22:00,CUST1047,paid,upi
ORD4029,89900,INR,2026-08-15T20:14:00,CUST1313,paid,card
ORD4022,34950,INR,2026-08-16T08:12:00,CUST1174,paid,upi
ORD4010,89999,INR,2026-08-16T08:42:00,CUST1160,paid,card
ORD4015,249900,INR,2026-08-16T14:58:00,CUST1205,paid,upi
ORD4054,399900,INR,2026-08-16T15:10:00,CUST1220,paid,upi
ORD4051,34950,INR,2026-08-16T15:20:00,CUST1342,paid,upi
ORD4035,75000,INR,2026-08-16T20:45:00,CUST1325,paid,upi
ORD4040,34900,INR,2026-08-16T21:12:00,CUST1149,paid,upi
ORD4043,399900,INR,2026-08-16T21:58:00,CUST1268,refunded,upi
ORD4013,49900,INR,2026-08-17T12:45:00,CUST1181,paid,wallet
ORD4048,1250000,INR,2026-08-17T13:39:00,CUST1354,paid,upi
ORD4026,24900,INR,2026-08-17T15:19:00,CUST1245,paid,card
ORD4007,45000,INR,2026-08-17T17:59:00,CUST1357,refunded,card
ORD4044,29999,INR,2026-08-18T08:55:00,CUST1076,paid,upi
ORD4041,45099,INR,2026-08-18T11:48:00,CUST1067,refunded,upi
ORD4016,59999,INR,2026-08-18T12:56:00,CUST1212,paid,upi
ORD4050,34950,INR,2026-08-18T12:59:00,CUST1062,paid,upi
ORD4002,24900,INR,2026-08-18T14:03:00,CUST1298,paid,card
ORD4055,49900,INR,2026-08-18T14:21:00,CUST1187,paid,upi
ORD4046,24999,INR,2026-08-18T16:35:00,CUST1097,paid,upi
ORD4020,19950,INR,2026-08-18T17:41:00,CUST1399,paid,netbanking
ORD4024,1250000,INR,2026-08-19T08:04:00,CUST1324,paid,upi
ORD4023,29999,INR,2026-08-19T08:06:00,CUST1186,paid,upi
ORD4009,29900,INR,2026-08-19T09:07:00,CUST1250,paid,upi
ORD4034,49900,INR,2026-08-19T21:00:00,CUST1061,paid,netbanking
ORD4038,75000,INR,2026-08-20T10:39:00,CUST1280,paid,upi
ORD4053,29950,INR,2026-08-20T13:09:00,CUST1048,paid,upi
ORD4021,59950,INR,2026-08-20T20:35:00,CUST1324,paid,upi
ORD4031,75000,INR,2026-08-21T08:01:00,CUST1309,paid,upi
ORD4027,89900,INR,2026-08-21T10:33:00,CUST1278,paid,upi
