settlement_id,capture_date,payout_date,total_paise,utr
setl_0000,2026-08-10,2026-08-11,1327809,RZP844835693
setl_0001,2026-08-11,2026-08-12,139900,RZP876430107
setl_0002,2026-08-12,2026-08-13,162200,RZP210886222
setl_0003,2026-08-13,2026-08-14,-11870,RZP414299529
setl_0004,2026-08-14,2026-08-17,734990,RZP330345250
setl_0005,2026-08-15,2026-08-17,1168403,RZP203003255
setl_0006,2026-08-16,2026-08-17,1067250,RZP767833917
setl_0007,2026-08-17,2026-08-18,932390,RZP608867815
setl_0008,2026-08-18,2026-08-19,219330,RZP588858662
setl_0009,2026-08-19,2026-08-20,1192501,RZP013185666
setl_0010,2026-08-20,2026-08-21,59950,RZP407755607
setl_0011,2026-08-21,2026-08-24,75000,RZP202727943
setl_0012,2026-08-23,2026-08-24,-37500,RZP467660127
setl_0013,2026-09-05,2026-09-07,-179000,RZP350026662
setl_0014,2026-09-06,2026-09-07,-108900,RZP544181990
setl_0015,2026-09-10,2026-09-11,-118950,RZP489422925
