bank_txn_id,value_date,description,credit_paise,debit_paise,balance_paise,utr
BNK000001,2026-08-11,NEFT CR RAZORPAY SOFTWA RZP15325,11389319,,36389319,
BNK000002,2026-08-12,NEFT-RZP341293555-RAZORPAY SOFTWARE PRIVATE LIMITED,14758455,,51147774,RZP341293555
BNK000004,2026-08-14,ACH C- RAZORPAY SOFT PVT LTD-RZP487335345-COLLECT,9357435,,73382731,
BNK000005,2026-08-17,NEFT-RZP049235651-RAZORPAY SOFTWARE PRIVATE LIMITED,18003280,,91386011,RZP049235651
BNK000006,2026-08-17,NEFT-CR-UTIB0000789-RZPYSETTL-RZP 0102 09354,12689247,,104075258,
BNK000007,2026-08-17,TRF FROM RAZORPAY SOFTWARE PVT LTD,10025714,,114100972,
BNK000008,2026-08-17,TRF FROM RAZORPAY SOFTWARE PVT LTD,150000,,114250972,
BNK000009,2026-08-17,ACH C- RAZORPAY SOFT PVT LTD-RZP925032972-COLLECT,150000,,114400972,
BNK000010,2026-08-18,NEFT-RZP744942575-RAZORPAY SOFTWARE PRIVATE LIMITED,10656021,,125056993,RZP744942575
BNK000011,2026-08-19,NEFT CR-UTIB0000789-RAZORPAY SOFTWARE PVT LTD-RZP509704058,8137816,,133194809,RZP509704058
BNK000012,2026-08-20,TRF FROM RAZORPAY SOFTWARE PVT LTD,7793404,,140988213,
BNK000013,2026-08-21,NEFT CR RAZORPAY SOFTWA RZP46785,11269549,,152257762,
BNK000014,2026-08-24,NEFT CR RAZORPAY SOFTWA RZP94626,11483662,,163741424,
BNK000015,2026-08-24,IMPS/RZP788937727/RAZORPAY/SETTLEMENT,,75099,163666325,RZP788937727
BNK000016,2026-09-04,NEFT-RZP550369942-RAZORPAY SOFTWARE PRIVATE LIMITED,,327900,163338425,RZP550369942
BNK000017,2026-09-10,ACH C- RAZORPAY SOFT PVT LTD-RZP680948067-COLLECT,,118900,163219525,
