txn_id,txn_type,order_ref,gross_amount_paise,fee_paise,gst_on_fee_paise,net_amount_paise,txn_datetime,settlement_id,payment_method,status
pay_000511,payment,ORD4510,89999,0,0,89999,2026-08-10T08:04:00,setl_0000,upi,captured
pay_000139,payment,ORD4138,29999,0,0,29999,2026-08-10T08:08:00,setl_0000,upi,captured
pay_000443,payment,ORD4442,34999,700,126,34173,2026-08-10T08:16:00,setl_0000,card,captured
pay_000357,payment,ORD4356,59999,1200,216,58583,2026-08-10T08:30:00,setl_0000,card,captured
pay_000398,payment,ORD4397,59900,1198,216,58486,2026-08-10T08:35:00,setl_0000,card,captured
pay_000941,payment,ORD4940,19999,400,72,19527,2026-08-10T08:42:00,setl_0000,card,captured
pay_000229,payment,ORD4228,59900,0,0,59900,2026-08-10T09:18:00,setl_0000,upi,captured
pay_000176,payment,ORD4175,120000,0,0,120000,2026-08-10T09:26:00,setl_0000,upi,captured
pay_000671,payment,ORD4670,29950,539,97,29314,2026-08-10T10:02:00,setl_0000,wallet,captured
pay_000713,payment,ORD4712,19950,0,0,19950,2026-08-10T10:22:00,setl_0000,upi,captured
pay_000358,payment,ORD4357,59950,0,0,59950,2026-08-10T10:48:00,setl_0000,upi,captured
pay_000304,payment,ORD4303,59900,0,0,59900,2026-08-10T10:51:00,setl_0000,upi,captured
pay_000989,payment,ORD4988,75000,1500,270,73230,2026-08-10T11:00:00,setl_0000,card,captured
pay_000882,payment,ORD4881,29900,598,108,29194,2026-08-10T11:43:00,setl_0000,card,captured
pay_000388,payment,ORD4387,29900,598,108,29194,2026-08-10T11:47:00,setl_0000,card,captured
pay_000811,payment,ORD4810,29900,0,0,29900,2026-08-10T11:48:00,setl_0000,upi,captured
pay_000140,payment,ORD4139,49900,898,162,48840,2026-08-10T11:49:00,setl_0000,wallet,captured
pay_000698,payment,ORD4697,24999,1200,216,23583,2026-08-10T11:54:00,setl_0000,netbanking,captured
pay_000362,payment,ORD4361,49999,0,0,49999,2026-08-10T12:00:00,setl_0000,upi,captured
pay_000580,payment,ORD4579,45000,900,162,43938,2026-08-10T12:01:00,setl_0000,card,captured
pay_000621,payment,ORD4620,120099,2162,389,117548,2026-08-10T12:32:00,setl_0000,wallet,captured
pay_000915,payment,ORD4914,120000,0,0,120000,2026-08-10T12:32:00,setl_0000,upi,captured
pay_000962,payment,ORD4961,24950,0,0,24950,2026-08-10T12:37:00,setl_0000,upi,captured
pay_000005,payment,ORD4004,45050,901,162,43987,2026-08-10T12:49:00,setl_0000,card,captured
pay_000451,payment,ORD4450,29900,1200,216,28484,2026-08-10T12:52:00,setl_0000,netbanking,captured
pay_000554,payment,ORD4553,24999,0,0,24999,2026-08-10T13:05:00,setl_0000,upi,captured
pay_000232,payment,ORD4231,59950,0,0,59950,2026-08-10T13:13:00,setl_0000,upi,captured
pay_000023,payment,ORD4022,45099,902,162,44035,2026-08-10T13:16:00,setl_0000,card,captured
pay_000094,payment,ORD4093,49900,0,0,49900,2026-08-10T13:20:00,setl_0000,upi,captured
pay_000341,payment,ORD4340,29900,0,0,29900,2026-08-10T13:20:00,setl_0000,upi,captured
pay_000666,payment,ORD4665,24900,0,0,24900,2026-08-10T13:22:00,setl_0000,upi,captured
pay_000071,payment,ORD4070,49900,0,0,49900,2026-08-10T13:28:00,setl_0000,upi,captured
