entity_id,entity_type,expected_classification,expected_match_target,notes
BNK000001,bank_row,messy_narration,setl_0000,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000004,bank_row,messy_narration,setl_0003,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000006,bank_row,messy_narration,setl_0005,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000007,bank_row,messy_narration,setl_0006,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000008,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000009,bank_row,orphan_bank_credit,,REAL BREAK: bank credit corresponds to no settlement
BNK000012,bank_row,messy_narration,setl_0009,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000013,bank_row,messy_narration,setl_0010,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000014,bank_row,messy_narration,setl_0011,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
BNK000017,bank_row,messy_narration,setl_0014,UTR absent or mangled in narration; must be recovered from free text or inferred from amount + date
GAP_BEFORE_BNK000004,statement_gap,missing_bank_row,setl_0002,settlement paid but its statement line is absent; detectable only from the running balance gap
ORD4000,order,clean,,matches 1:1 with its payment
ORD4001,order,clean,,matches 1:1 with its payment
ORD4002,order,clean,,matches 1:1 with its payment
ORD4003,order,clean,,matches 1:1 with its payment
ORD4004,order,clean,,matches 1:1 with its payment
ORD4005,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4006,order,clean,,matches 1:1 with its payment
ORD4007,order,clean,,matches 1:1 with its payment
ORD4008,order,clean,,matches 1:1 with its payment
ORD4009,order,clean,,matches 1:1 with its payment
ORD4010,order,clean,,matches 1:1 with its payment
ORD4011,order,clean,,matches 1:1 with its payment
ORD4012,order,clean,,matches 1:1 with its payment
ORD4013,order,clean,,matches 1:1 with its payment
ORD4014,order,clean,,matches 1:1 with its payment
ORD4015,order,clean,,matches 1:1 with its payment
ORD4016,order,clean,,matches 1:1 with its payment
ORD4017,order,clean,,matches 1:1 with its payment
ORD4018,order,clean,,matches 1:1 with its payment
ORD4019,order,clean,,matches 1:1 with its payment
ORD4020,order,clean,,matches 1:1 with its payment
ORD4021,order,clean,,matches 1:1 with its payment
ORD4022,order,clean,,matches 1:1 with its payment
ORD4023,order,clean,,matches 1:1 with its payment
ORD4024,order,clean,,matches 1:1 with its payment
ORD4025,order,clean,,matches 1:1 with its payment
ORD4026,order,clean,,matches 1:1 with its payment
ORD4027,order,clean,,matches 1:1 with its payment
ORD4028,order,clean,,matches 1:1 with its payment
ORD4029,order,clean,,matches 1:1 with its payment
ORD4030,order,clean,,matches 1:1 with its payment
ORD4031,order,clean,,matches 1:1 with its payment
ORD4032,order,clean,,matches 1:1 with its payment
ORD4033,order,clean,,matches 1:1 with its payment
ORD4034,order,clean,,matches 1:1 with its payment
ORD4035,order,clean,,matches 1:1 with its payment
ORD4036,order,clean,,matches 1:1 with its payment
ORD4037,order,clean,,matches 1:1 with its payment
ORD4038,order,clean,,matches 1:1 with its payment
ORD4039,order,clean,,matches 1:1 with its payment
ORD4040,order,clean,,matches 1:1 with its payment
ORD4041,order,clean,,matches 1:1 with its payment
ORD4042,order,clean,,matches 1:1 with its payment
ORD4043,order,clean,,matches 1:1 with its payment
ORD4044,order,clean,,matches 1:1 with its payment
ORD4045,order,clean,,matches 1:1 with its payment
ORD4046,order,clean,,matches 1:1 with its payment
ORD4047,order,clean,,matches 1:1 with its payment
ORD4048,order,clean,,matches 1:1 with its payment
ORD4049,order,clean,,matches 1:1 with its payment
ORD4050,order,clean,,matches 1:1 with its payment
ORD4051,order,clean,,matches 1:1 with its payment
ORD4052,order,clean,,matches 1:1 with its payment
ORD4053,order,clean,,matches 1:1 with its payment
ORD4054,order,clean,,matches 1:1 with its payment
ORD4055,order,clean,,matches 1:1 with its payment
ORD4056,order,clean,,matches 1:1 with its payment
ORD4057,order,clean,,matches 1:1 with its payment
ORD4058,order,clean,,matches 1:1 with its payment
ORD4059,order,clean,,matches 1:1 with its payment
ORD4060,order,unsettled,,captured near end of window; not yet paid out. CORRECTLY unmatched -- not an error
ORD4061,order,clean,,matches 1:1 with its payment
ORD4062,order,clean,,matches 1:1 with its payment
ORD4063,order,clean,,matches 1:1 with its payment
ORD4064,order,clean,,matches 1:1 with its payment
ORD4065,order,clean,,matches 1:1 with its payment
ORD4066,order,clean,,matches 1:1 with its payment
ORD4067,order,clean,,matches 1:1 with its payment
ORD4068,order,clean,,matches 1:1 with its payment
ORD4069,order,clean,,matches 1:1 with its payment
ORD4070,order,clean,,matches 1:1 with its payment
ORD4071,order,clean,,matches 1:1 with its payment
ORD4072,order,clean,,matches 1:1 with its payment
ORD4073,order,clean,,matches 1:1 with its payment
ORD4074,order,clean,,matches 1:1 with its payment
ORD4075,order,clean,,matches 1:1 with its payment
ORD4076,order,clean,,matches 1:1 with its payment
ORD4077,order,clean,,matches 1:1 with its payment
ORD4078,order,clean,,matches 1:1 with its payment
ORD4079,order,clean,,matches 1:1 with its payment
ORD4080,order,clean,,matches 1:1 with its payment
ORD4081,order,clean,,matches 1:1 with its payment
ORD4082,order,clean,,matches 1:1 with its payment
ORD4083,order,clean,,matches 1:1 with its payment
ORD4084,order,clean,,matches 1:1 with its payment
ORD4085,order,clean,,matches 1:1 with its payment
ORD4086,order,clean,,matches 1:1 with its payment
ORD4087,order,clean,,matches 1:1 with its payment
ORD4088,order,clean,,matches 1:1 with its payment
ORD4089,order,clean,,matches 1:1 with its payment
ORD4090,order,clean,,matches 1:1 with its payment
ORD4091,order,clean,,matches 1:1 with its payment
ORD4092,order,clean,,matches 1:1 with its payment
ORD4093,order,clean,,matches 1:1 with its payment
ORD4094,order,clean,,matches 1:1 with its payment
ORD4095,order,clean,,matches 1:1 with its payment
ORD4096,order,clean,,matches 1:1 with its payment
ORD4097,order,clean,,matches 1:1 with its payment
ORD4098,order,failed_payment,pay_000099,payment attempt failed; no bank credit will ever exist
ORD4099,order,clean,,matches 1:1 with its payment
ORD4100,order,clean,,matches 1:1 with its payment
ORD4101,order,clean,,matches 1:1 with its payment
ORD4102,order,clean,,matches 1:1 with its payment
ORD4103,order,clean,,matches 1:1 with its payment
ORD4104,order,clean,,matches 1:1 with its payment
ORD4105,order,clean,,matches 1:1 with its payment
ORD4106,order,clean,,matches 1:1 with its payment
ORD4107,order,clean,,matches 1:1 with its payment
ORD4108,order,clean,,matches 1:1 with its payment
ORD4109,order,clean,,matches 1:1 with its payment
ORD4110,order,clean,,matches 1:1 with its payment
ORD4111,order,clean,,matches 1:1 with its payment
ORD4112,order,clean,,matches 1:1 with its payment
ORD4113,order,clean,,matches 1:1 with its payment
ORD4114,order,clean,,matches 1:1 with its payment
ORD4115,order,clean,,matches 1:1 with its payment
ORD4116,order,clean,,matches 1:1 with its payment
ORD4117,order,clean,,matches 1:1 with its payment
ORD4118,order,clean,,matches 1:1 with its payment
ORD4119,order,clean,,matches 1:1 with its payment
ORD4120,order,clean,,matches 1:1 with its payment
ORD4121,order,clean,,matches 1:1 with its payment
ORD4122,order,clean,,matches 1:1 with its payment
ORD4123,order,clean,,matches 1:1 with its payment
ORD4124,order,clean,,matches 1:1 with its payment
ORD4125,order,clean,,matches 1:1 with its payment
ORD4126,order,clean,,matches 1:1 with its payment
ORD4127,order,clean,,matches 1:1 with its payment
ORD4128,order,clean,,matches 1:1 with its payment
ORD4129,order,clean,,matches 1:1 with its payment
ORD4130,order,clean,,matches 1:1 with its payment
ORD4131,order,clean,,matches 1:1 with its payment
ORD4132,order,clean,,matches 1:1 with its payment
