order_id,order_amount_paise,currency,order_datetime,customer_id,order_status,payment_method
ORD4510,89999,INR,2026-08-10T08:04:00,CUST1008,paid,upi
ORD4138,29999,INR,2026-08-10T08:08:00,CUST1025,paid,upi
ORD4442,34999,INR,2026-08-10T08:16:00,CUST1314,paid,card
ORD4356,59999,INR,2026-08-10T08:30:00,CUST1220,paid,card
ORD4397,59900,INR,2026-08-10T08:35:00,CUST1368,paid,card
ORD4940,19999,INR,2026-08-10T08:42:00,CUST1217,paid,card
ORD4228,59900,INR,2026-08-10T09:18:00,CUST1172,paid,upi
ORD4175,120000,INR,2026-08-10T09:26:00,CUST1195,paid,upi
ORD4670,29950,INR,2026-08-10T10:02:00,CUST1106,paid,wallet
ORD4712,19950,INR,2026-08-10T10:22:00,CUST1221,paid,upi
ORD4357,59950,INR,2026-08-10T10:48:00,CUST1090,paid,upi
ORD4303,59900,INR,2026-08-10T10:51:00,CUST1216,paid,upi
ORD4988,75000,INR,2026-08-10T11:00:00,CUST1064,paid,card
ORD4881,29900,INR,2026-08-10T11:43:00,CUST1168,paid,card
ORD4387,29900,INR,2026-08-10T11:47:00,CUST1038,paid,card
ORD4810,29900,INR,2026-08-10T11:48:00,CUST1221,paid,upi
ORD4139,49900,INR,2026-08-10T11:49:00,CUST1017,paid,wallet
ORD4697,24999,INR,2026-08-10T11:54:00,CUST1102,paid,netbanking
ORD4361,49999,INR,2026-08-10T12:00:00,CUST1244,paid,upi
ORD4579,45000,INR,2026-08-10T12:01:00,CUST1141,paid,card
ORD4620,120099,INR,2026-08-10T12:32:00,CUST1020,paid,wallet
ORD4914,120000,INR,2026-08-10T12:32:00,CUST1208,paid,upi
ORD4961,24950,INR,2026-08-10T12:37:00,CUST1217,paid,upi
ORD4004,45050,INR,2026-08-10T12:49:00,CUST1198,paid,card
ORD4450,29900,INR,2026-08-10T12:52:00,CUST1135,paid,netbanking
ORD4553,24999,INR,2026-08-10T13:05:00,CUST1055,paid,upi
ORD4231,59950,INR,2026-08-10T13:13:00,CUST1161,paid,upi
ORD4022,45099,INR,2026-08-10T13:16:00,CUST1090,paid,card
ORD4093,49900,INR,2026-08-10T13:20:00,CUST1307,paid,upi
ORD4340,29900,INR,2026-08-10T13:20:00,CUST1144,paid,upi
ORD4665,24900,INR,2026-08-10T13:22:00,CUST1010,paid,upi
ORD4070,49900,INR,2026-08-10T13:28:00,CUST1169,paid,upi
ORD4569,34900,INR,2026-08-10T13:31:00,CUST1232,paid,upi
ORD4661,899900,INR,2026-08-10T13:36:00,CUST1233,paid,upi
ORD4775,45050,INR,2026-08-10T14:03:00,CUST1112,paid,upi
ORD4656,24950,INR,2026-08-10T14:04:00,CUST1165,paid,card
ORD4612,29900,INR,2026-08-10T14:09:00,CUST1210,paid,upi
ORD4607,24900,INR,2026-08-10T14:12:00,CUST1133,paid,card
ORD4365,575000,INR,2026-08-10T14:14:00,CUST1334,paid,upi
ORD4643,24900,INR,2026-08-10T14:14:00,CUST1163,paid,upi
ORD4823,59999,INR,2026-08-10T14:27:00,CUST1375,paid,card
ORD4986,45000,INR,2026-08-10T14:40:00,CUST1161,paid,upi
ORD4013,89900,INR,2026-08-10T14:45:00,CUST1018,paid,upi
ORD4809,49900,INR,2026-08-10T15:03:00,CUST1357,paid,card
ORD4332,34900,INR,2026-08-10T15:07:00,CUST1068,paid,netbanking
ORD4976,59900,INR,2026-08-10T15:21:00,CUST1274,paid,card
ORD4598,49999,INR,2026-08-10T15:25:00,CUST1112,paid,upi
ORD4382,49900,INR,2026-08-10T15:28:00,CUST1204,paid,upi
ORD4918,399900,INR,2026-08-10T15:43:00,CUST1367,paid,upi
ORD4955,19900,INR,2026-08-10T15:50:00,CUST1198,paid,upi
ORD4028,120000,INR,2026-08-10T16:12:00,CUST1174,paid,netbanking
ORD4705,1250000,INR,2026-08-10T16:34:00,CUST1039,paid,netbanking
ORD4460,49900,INR,2026-08-10T16:43:00,CUST1042,paid,upi
ORD4493,399900,INR,2026-08-10T16:51:00,CUST1352,paid,upi
ORD4548,29950,INR,2026-08-10T16:53:00,CUST1283,paid,upi
ORD4886,49900,INR,2026-08-10T17:11:00,CUST1275,paid,card
ORD4453,89900,INR,2026-08-10T17:18:00,CUST1010,paid,upi
ORD4703,34900,INR,2026-08-10T17:20:00,CUST1250,paid,upi
ORD4233,75099,INR,2026-08-10T17:21:00,CUST1327,paid,upi
ORD4895,45050,INR,2026-08-10T17:23:00,CUST1137,refunded,upi
ORD4563,29900,INR,2026-08-10T17:42:00,CUST1035,paid,upi
ORD4320,19999,INR,2026-08-10T17:43:00,CUST1059,paid,upi
ORD4502,75050,INR,2026-08-10T17:47:00,CUST1305,paid,netbanking
ORD4709,1250000,INR,2026-08-10T17:59:00,CUST1024,paid,upi
ORD4108,89900,INR,2026-08-10T18:05:00,CUST1096,paid,upi
ORD4634,34999,INR,2026-08-10T18:13:00,CUST1183,paid,card
ORD4791,399900,INR,2026-08-10T18:52:00,CUST1281,paid,upi
ORD4802,59950,INR,2026-08-10T18:58:00,CUST1150,paid,card
ORD4094,49900,INR,2026-08-10T19:05:00,CUST1102,paid,wallet
ORD4542,899900,INR,2026-08-10T19:43:00,CUST1032,paid,upi
ORD4103,59900,INR,2026-08-10T19:45:00,CUST1013,paid,upi
ORD4557,19900,INR,2026-08-10T19:49:00,CUST1363,paid,wallet
ORD4804,575000,INR,2026-08-10T19:49:00,CUST1158,paid,card
ORD4945,29999,INR,2026-08-10T20:04:00,CUST1076,paid,upi
ORD4041,19900,INR,2026-08-10T20:08:00,CUST1016,paid,upi
ORD4338,120000,INR,2026-08-10T20:11:00,CUST1357,paid,upi
ORD4279,75000,INR,2026-08-10T20:13:00,CUST1370,paid,upi
ORD4581,120000,INR,2026-08-10T20:19:00,CUST1277,paid,card
ORD4184,75000,INR,2026-08-10T20:22:00,CUST1071,paid,upi
ORD4019,575000,INR,2026-08-10T20:26:00,CUST1315,paid,upi
ORD4751,89999,INR,2026-08-10T20:38:00,CUST1029,paid,upi
ORD4034,34950,INR,2026-08-10T20:44:00,CUST1006,paid,card
ORD4551,249900,INR,2026-08-10T21:04:00,CUST1255,paid,upi
ORD4281,19900,INR,2026-08-10T21:12:00,CUST1222,paid,card
ORD4275,19999,INR,2026-08-10T21:14:00,CUST1194,paid,upi
ORD4399,24900,INR,2026-08-10T21:32:00,CUST1077,refunded,card
ORD4649,120000,INR,2026-08-10T21:54:00,CUST1124,paid,upi
ORD4845,34900,INR,2026-08-10T21:55:00,CUST1329,paid,upi
ORD4675,399900,INR,2026-08-11T08:13:00,CUST1321,paid,netbanking
ORD4496,29900,INR,2026-08-11T08:20:00,CUST1156,paid,upi
ORD4532,45050,INR,2026-08-11T08:54:00,CUST1105,paid,upi
ORD4812,120099,INR,2026-08-11T08:57:00,CUST1094,paid,upi
ORD4701,75000,INR,2026-08-11T09:10:00,CUST1019,paid,upi
ORD4473,399900,INR,2026-08-11T09:44:00,CUST1312,paid,upi
ORD4408,75050,INR,2026-08-11T09:56:00,CUST1310,paid,card
ORD4518,24999,INR,2026-08-11T10:30:00,CUST1277,paid,netbanking
ORD4084,59950,INR,2026-08-11T10:44:00,CUST1383,paid,card
ORD4162,399900,INR,2026-08-11T11:00:00,CUST1125,failed,wallet
ORD4487,34999,INR,2026-08-11T11:07:00,CUST1329,paid,upi
ORD4613,120000,INR,2026-08-11T11:20:00,CUST1083,paid,card
ORD4310,34999,INR,2026-08-11T11:24:00,CUST1182,paid,upi
ORD4861,45000,INR,2026-08-11T11:29:00,CUST1022,paid,upi
ORD4604,34900,INR,2026-08-11T11:36:00,CUST1188,paid,upi
ORD4284,49950,INR,2026-08-11T11:48:00,CUST1123,paid,card
ORD4364,49900,INR,2026-08-11T11:54:00,CUST1282,paid,upi
ORD4618,75000,INR,2026-08-11T11:59:00,CUST1278,paid,upi
ORD4417,899900,INR,2026-08-11T12:04:00,CUST1383,paid,netbanking
ORD4128,34900,INR,2026-08-11T12:13:00,CUST1376,paid,netbanking
ORD4381,249900,INR,2026-08-11T12:36:00,CUST1263,paid,netbanking
ORD4733,49900,INR,2026-08-11T12:36:00,CUST1179,paid,netbanking
ORD4124,899900,INR,2026-08-11T12:53:00,CUST1105,paid,card
ORD4711,24900,INR,2026-08-11T12:53:00,CUST1242,paid,card
ORD4566,29900,INR,2026-08-11T12:54:00,CUST1391,paid,netbanking
ORD4680,59900,INR,2026-08-11T13:32:00,CUST1287,paid,wallet
ORD4163,899900,INR,2026-08-11T13:34:00,CUST1160,paid,upi
ORD4858,89900,INR,2026-08-11T13:35:00,CUST1371,paid,upi
ORD4402,59900,INR,2026-08-11T13:37:00,CUST1356,paid,upi
ORD4027,120050,INR,2026-08-11T13:47:00,CUST1061,paid,upi
ORD4297,19950,INR,2026-08-11T13:52:00,CUST1048,paid,upi
ORD4403,29999,INR,2026-08-11T13:52:00,CUST1325,paid,card
ORD4689,75000,INR,2026-08-11T13:53:00,CUST1324,paid,upi
ORD4929,29999,INR,2026-08-11T14:05:00,CUST1282,paid,upi
ORD4156,899900,INR,2026-08-11T14:17:00,CUST1279,paid,upi
ORD4345,1250000,INR,2026-08-11T14:19:00,CUST1373,paid,netbanking
ORD4539,49999,INR,2026-08-11T14:22:00,CUST1145,paid,upi
ORD4559,49900,INR,2026-08-11T14:28:00,CUST1238,paid,wallet
ORD4868,45050,INR,2026-08-11T14:38:00,CUST1130,paid,wallet
ORD4416,75000,INR,2026-08-11T14:41:00,CUST1248,paid,upi
ORD4664,399900,INR,2026-08-11T14:49:00,CUST1289,paid,upi
ORD4266,49999,INR,2026-08-11T14:57:00,CUST1382,paid,upi
ORD4422,75000,INR,2026-08-11T14:59:00,CUST1001,paid,card
ORD4635,49900,INR,2026-08-11T15:01:00,CUST1079,paid,card
ORD4526,24950,INR,2026-08-11T15:12:00,CUST1256,paid,upi
ORD4963,19900,INR,2026-08-11T15:23:00,CUST1280,refunded,card
ORD4264,89950,INR,2026-08-11T15:27:00,CUST1147,paid,upi
ORD4766,249900,INR,2026-08-11T15:31:00,CUST1326,paid,card
ORD4435,24900,INR,2026-08-11T15:34:00,CUST1191,paid,upi
ORD4717,75000,INR,2026-08-11T15:51:00,CUST1179,paid,netbanking
ORD4587,120000,INR,2026-08-11T15:52:00,CUST1334,paid,upi
ORD4125,24900,INR,2026-08-11T16:00:00,CUST1248,paid,upi
ORD4919,59999,INR,2026-08-11T16:19:00,CUST1248,paid,upi
ORD4932,59900,INR,2026-08-11T16:23:00,CUST1383,paid,upi
ORD4452,45099,INR,2026-08-11T16:41:00,CUST1259,paid,upi
ORD4126,59900,INR,2026-08-11T16:43:00,CUST1109,paid,card
ORD4054,89900,INR,2026-08-11T16:47:00,CUST1288,paid,card
ORD4500,575000,INR,2026-08-11T16:51:00,CUST1012,paid,upi
ORD4182,399900,INR,2026-08-11T16:56:00,CUST1157,paid,upi
ORD4168,24950,INR,2026-08-11T17:00:00,CUST1350,paid,wallet
ORD4793,45000,INR,2026-08-11T17:13:00,CUST1178,paid,wallet
ORD4026,399900,INR,2026-08-11T17:20:00,CUST1086,paid,upi
ORD4728,120000,INR,2026-08-11T17:28:00,CUST1125,paid,upi
ORD4267,29900,INR,2026-08-11T17:36:00,CUST1086,paid,upi
ORD4906,575000,INR,2026-08-11T18:01:00,CUST1282,paid,netbanking
ORD4278,24900,INR,2026-08-11T18:05:00,CUST1170,paid,upi
ORD4777,34900,INR,2026-08-11T18:15:00,CUST1049,paid,upi
ORD4243,89900,INR,2026-08-11T18:19:00,CUST1185,paid,upi
ORD4508,29950,INR,2026-08-11T18:54:00,CUST1241,paid,upi
ORD4585,399900,INR,2026-08-11T18:56:00,CUST1224,paid,upi
ORD4962,89900,INR,2026-08-11T19:39:00,CUST1391,paid,upi
ORD4010,120000,INR,2026-08-11T19:41:00,CUST1032,paid,upi
ORD4877,75099,INR,2026-08-11T19:48:00,CUST1378,paid,upi
ORD4686,75099,INR,2026-08-11T20:16:00,CUST1206,paid,upi
ORD4545,59900,INR,2026-08-11T20:23:00,CUST1288,paid,netbanking
ORD4571,249900,INR,2026-08-11T20:24:00,CUST1062,paid,upi
ORD4998,1250000,INR,2026-08-11T20:35:00,CUST1324,paid,wallet
ORD4879,120000,INR,2026-08-11T20:45:00,CUST1315,paid,card
ORD4024,120000,INR,2026-08-11T20:52:00,CUST1113,paid,upi
ORD4773,24900,INR,2026-08-11T20:59:00,CUST1150,paid,upi
ORD4631,29900,INR,2026-08-11T21:00:00,CUST1143,paid,upi
ORD4441,59900,INR,2026-08-11T21:04:00,CUST1202,paid,upi
ORD4096,59950,INR,2026-08-11T21:12:00,CUST1034,paid,upi
ORD4337,29900,INR,2026-08-11T21:15:00,CUST1242,paid,upi
ORD4883,45099,INR,2026-08-11T21:16:00,CUST1238,paid,card
ORD4651,59900,INR,2026-08-11T21:24:00,CUST1130,paid,upi
ORD4654,59900,INR,2026-08-11T21:26:00,CUST1272,paid,card
ORD4893,75000,INR,2026-08-11T21:36:00,CUST1174,paid,upi
ORD4033,249900,INR,2026-08-11T21:37:00,CUST1023,paid,card
ORD4188,59999,INR,2026-08-11T21:42:00,CUST1165,paid,upi
ORD4503,59900,INR,2026-08-11T21:50:00,CUST1353,paid,card
ORD4595,45000,INR,2026-08-12T08:00:00,CUST1114,paid,netbanking
ORD4764,75000,INR,2026-08-12T08:05:00,CUST1128,paid,upi
ORD4687,59999,INR,2026-08-12T08:06:00,CUST1396,paid,netbanking
ORD4763,59999,INR,2026-08-12T08:16:00,CUST1344,paid,netbanking
ORD4577,59950,INR,2026-08-12T08:30:00,CUST1158,paid,upi
ORD4167,899900,INR,2026-08-12T08:38:00,CUST1091,paid,card
ORD4781,45000,INR,2026-08-12T08:49:00,CUST1213,paid,upi
ORD4674,75000,INR,2026-08-12T08:59:00,CUST1280,paid,upi
ORD4942,34900,INR,2026-08-12T09:20:00,CUST1157,paid,upi
ORD4597,89900,INR,2026-08-12T09:23:00,CUST1154,paid,upi
ORD4225,120000,INR,2026-08-12T09:34:00,CUST1044,paid,upi
ORD4276,75000,INR,2026-08-12T09:41:00,CUST1004,paid,card
