settlement_id,capture_date,payout_date,total_paise,utr
setl_0000,2026-08-10,2026-08-11,11389319,RZP153250275
setl_0001,2026-08-11,2026-08-12,14758455,RZP341293555
setl_0002,2026-08-12,2026-08-13,12877522,RZP765260923
setl_0003,2026-08-13,2026-08-14,9357435,RZP487335345
setl_0004,2026-08-14,2026-08-17,18003280,RZP049235651
setl_0005,2026-08-15,2026-08-17,12689247,RZP010209354
setl_0006,2026-08-16,2026-08-17,10025714,RZP615830566
setl_0007,2026-08-17,2026-08-18,10656021,RZP744942575
setl_0008,2026-08-18,2026-08-19,8137816,RZP509704058
setl_0009,2026-08-19,2026-08-20,7793404,RZP527687871
setl_0010,2026-08-20,2026-08-21,11269549,RZP467852715
setl_0011,2026-08-21,2026-08-24,11483662,RZP946263782
setl_0012,2026-08-23,2026-08-24,-75099,RZP788937727
setl_0013,2026-09-03,2026-09-04,-327900,RZP550369942
setl_0014,2026-09-09,2026-09-10,-118900,RZP680948067
