bank_txn_id,value_date,description,credit_paise,debit_paise,balance_paise,utr
BNK000001,2026-08-11,NEFT-RZP364151244-RAZORPAY SOFTWARE PRIVATE LIMITED,2632634,,27632634,RZP364151244
BNK000002,2026-08-12,TRF FROM RAZORPAY SOFTWARE PVT LTD,2666685,,30299319,
BNK000003,2026-08-13,NEFT-CR-HDFC0000123-RZPYSETTL-RZP 4153 13618,1778521,,32077840,
BNK000004,2026-08-14,NEFT-RZP740776085-RAZORPAY SOFTWARE PRIVATE LIMITED,2267939,,34345779,RZP740776085
BNK000005,2026-08-14,IMPS/RZP305162243/RAZORPAY/SETTLEMENT,150000,,34495779,RZP305162243
BNK000006,2026-08-17,IMPS/RZP317372714/RAZORPAY/SETTLEMENT,1545802,,36041581,RZP317372714
BNK000007,2026-08-17,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-RZP492729273,1252832,,37294413,RZP492729273
BNK000008,2026-08-17,ACH C- RAZORPAY SOFT PVT LTD-RZP757984283-COLLECT,790672,,38085085,
BNK000009,2026-08-17,IMPS/RZP008301492/RAZORPAY/SETTLEMENT,420000,,38505085,RZP008301492
BNK000010,2026-08-17,NEFT-RZP948710110-RAZORPAY SOFTWARE PRIVATE LIMITED,150000,,38655085,RZP948710110
BNK000011,2026-08-18,NEFT-RZP991992382-RAZORPAY SOFTWARE PRIVATE LIMITED,2731947,,41387032,RZP991992382
BNK000012,2026-08-19,NEFT CR-ICIC0000456-RAZORPAY SOFTWARE PVT LTD-RZP780033288,4336261,,45723293,RZP780033288
BNK000013,2026-08-19,IMPS/RZP658111924/RAZORPAY/SETTLEMENT,420000,,46143293,RZP658111924
BNK000014,2026-08-19,TRF FROM RAZORPAY SOFTWARE PVT LTD,275000,,46418293,
BNK000015,2026-08-20,NEFT-CR-HDFC0000123-RZPYSETTL-RZP 6338 07200,3346069,,49764362,
BNK000016,2026-08-21,NEFT CR-ICIC0000456-RAZORPAY SOFTWARE PVT LTD-RZP560044938,1141929,,50906291,RZP560044938
BNK000017,2026-08-21,ACH C- RAZORPAY SOFT PVT LTD-RZP104862741-COLLECT,275000,,51181291,
BNK000020,2026-08-24,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-RZP867210823,,134699,50739092,RZP867210823
BNK000021,2026-09-02,IMPS/RZP111368243/RAZORPAY/SETTLEMENT,,134000,50605092,RZP111368243
BNK000022,2026-09-03,NEFT-RZP646379789-RAZORPAY SOFTWARE PRIVATE LIMITED,,108950,50496142,RZP646379789
BNK000023,2026-09-08,NEFT CR-ICIC0000456-RAZORPAY SOFTWARE PVT LTD-RZP883856064,,134000,50362142,RZP883856064
BNK000025,2026-09-11,NEFT-RZP182519617-RAZORPAY SOFTWARE PRIVATE LIMITED,,83950,50100342,RZP182519617
BNK000026,2026-09-14,IMPS/RZP212626946/RAZORPAY/SETTLEMENT,,118999,49981343,RZP212626946
BNK000027,2026-09-15,ACH C- RAZORPAY SOFT PVT LTD-RZP792226361-COLLECT,,93900,49887443,
BNK000028,2026-09-16,NEFT-CR-ICIC0000456-RZPYSETTL-RZP 1981 35849,,1309000,48578443,
