txn_id,txn_type,order_ref,gross_amount_paise,fee_paise,gst_on_fee_paise,net_amount_paise,txn_datetime,settlement_id,payment_method,status
pay_000013,payment,ORD4012,29999,0,0,0,2026-08-10T08:29:00,,upi,failed
pay_000243,payment,ORD4012,29999,0,0,29999,2026-08-10T08:30:12,,upi,voided
pay_000168,payment,ORD4167,19900,0,0,19900,2026-08-10T10:12:00,setl_0000,upi,captured
pay_000017,payment,ORD4016,19999,0,0,19999,2026-08-10T10:13:00,setl_0000,upi,captured
pay_000010,payment,ORD4009,249900,0,0,249900,2026-08-10T11:13:00,setl_0000,upi,captured
pay_000184,payment,ORD4183,49950,1,0,49949,2026-08-10T11:20:00,setl_0000,upi,captured
pay_000200,payment,ORD4199,249900,4998,900,244002,2026-08-10T11:38:00,setl_0000,card,refunded
pay_000036,payment,ORD4035,19900,358,64,19478,2026-08-10T12:38:00,setl_0000,wallet,captured
pay_000165,payment,ORD4164,399900,7998,1440,390462,2026-08-10T12:43:00,setl_0000,card,captured
pay_000015,payment,ORD4014,1250000,1,0,1250999,2026-08-10T12:55:00,setl_0000,upi,captured
pay_000055,payment,ORD4054,75000,1500,270,73230,2026-08-10T13:32:00,setl_0000,card,captured
pay_000240,payment,ORD4054,75000,1500,270,73230,2026-08-10T13:34:40,,card,voided
pay_000083,payment,ORD4082,59999,1200,216,58583,2026-08-10T13:57:00,setl_0000,card,captured
pay_000095,payment,ORD4094,89950,1799,324,87827,2026-08-10T14:31:00,setl_0000,card,captured
pay_000108,payment,ORD4107,89900,0,0,0,2026-08-10T17:02:00,,upi,failed
pay_000245,payment,ORD4107,89900,0,0,89900,2026-08-10T17:03:14,,upi,voided
pay_000007,payment,ORD4006,45050,811,146,44093,2026-08-10T18:05:00,setl_0000,wallet,captured
pay_000081,payment,ORD4080,34900,0,0,34900,2026-08-10T18:44:00,setl_0000,upi,captured
pay_000170,payment,ORD4169,29950,539,97,29314,2026-08-10T18:50:00,setl_0000,wallet,captured
pay_000122,payment,ORD4121,24999,0,0,24999,2026-08-10T18:53:00,setl_0000,upi,captured
pay_000148,payment,ORD4147,34999,0,0,34999,2026-08-10T21:54:00,setl_0000,upi,captured
pay_000193,payment,ORD4192,399900,0,0,399900,2026-08-11T10:18:00,setl_0001,upi,captured
pay_000054,payment,ORD4053,575000,0,0,575000,2026-08-11T12:34:00,setl_0001,upi,captured
pay_000034,payment,ORD4033,49950,899,162,48889,2026-08-11T12:56:00,setl_0001,wallet,captured
pay_000123,payment,ORD4122,24900,0,0,24900,2026-08-11T13:05:00,setl_0001,upi,captured
pay_000027,payment,ORD4026,575000,11499,2070,561431,2026-08-11T13:08:00,setl_0001,card,captured
pay_000009,payment,ORD4008,59900,1078,194,58628,2026-08-11T14:06:00,setl_0001,wallet,captured
pay_000064,payment,ORD4063,24999,0,0,24999,2026-08-11T15:05:00,setl_0001,upi,refunded
pay_000247,payment,ORD4063,24999,0,0,24999,2026-08-11T15:07:19,,upi,voided
pay_000171,payment,ORD4170,120099,2402,432,117265,2026-08-11T15:22:00,setl_0001,card,captured
pay_000136,payment,ORD4135,19900,358,64,19478,2026-08-11T15:55:00,setl_0001,wallet,captured
pay_000113,payment,ORD4112,89900,0,0,89900,2026-08-11T15:56:00,setl_0001,upi,captured
pay_000145,payment,ORD4144,249900,0,0,249900,2026-08-11T16:19:00,setl_0001,upi,captured
pay_000180,payment,ORD4179,249900,0,0,249900,2026-08-11T16:36:00,setl_0001,upi,captured
pay_000090,payment,ORD4089,45050,0,0,45050,2026-08-11T17:06:00,setl_0001,upi,captured
pay_000053,payment,ORD4052,24900,0,0,0,2026-08-11T19:55:00,,upi,failed
pay_000059,payment,ORD4058,89900,1200,216,88484,2026-08-11T20:14:00,setl_0001,netbanking,captured
pay_000176,payment,ORD4175,59900,0,0,59900,2026-08-11T21:28:00,setl_0001,upi,captured
pay_000069,payment,ORD4068,34999,1201,216,33582,2026-08-11T21:32:00,setl_0001,netbanking,captured
pay_000032,payment,ORD4031,19950,399,72,19479,2026-08-11T21:54:00,setl_0001,card,captured
pay_000141,payment,ORD4140,89900,1200,216,88484,2026-08-12T09:22:00,setl_0002,netbanking,captured
pay_000042,payment,ORD4041,34950,0,0,34950,2026-08-12T09:28:00,setl_0002,upi,captured
pay_000003,payment,ORD4002,19999,360,65,19574,2026-08-12T09:34:00,setl_0002,wallet,captured
pay_000198,payment,ORD4197,75099,1502,270,74327,2026-08-12T09:38:00,setl_0002,card,captured
pay_000146,payment,ORD4145,75000,1999,270,72731,2026-08-12T09:42:00,setl_0002,card,captured
pay_000166,payment,ORD4165,24950,0,0,24950,2026-08-12T10:38:00,setl_0002,upi,captured
pay_000075,payment,ORD4074,19900,0,0,19900,2026-08-12T11:25:00,setl_0002,upi,captured
rfnd_000202,refund,ORD4199,-249900,0,0,-249900,2026-08-12T11:38:00,setl_0002,card,processed
pay_000129,payment,ORD4128,59900,150,0,59750,2026-08-12T11:47:00,setl_0002,upi,captured
pay_000134,payment,ORD4133,45099,812,146,44141,2026-08-12T12:25:00,setl_0002,wallet,captured
pay_000104,payment,ORD4103,75000,0,0,75000,2026-08-12T12:46:00,setl_0002,upi,captured
pay_000182,payment,ORD4181,19900,0,0,19900,2026-08-12T13:44:00,setl_0002,upi,captured
pay_000187,payment,ORD4186,899900,0,0,899900,2026-08-12T13:44:00,setl_0002,upi,captured
pay_000050,payment,ORD4049,34900,0,0,34900,2026-08-12T14:54:00,setl_0002,upi,captured
rfnd_000213,refund,ORD4063,-24999,0,0,-24999,2026-08-12T15:05:00,setl_0002,upi,processed
pay_000191,payment,ORD4190,24950,1200,216,23534,2026-08-12T18:42:00,setl_0002,netbanking,captured
pay_000024,payment,ORD4023,75099,1502,270,73327,2026-08-12T19:04:00,setl_0002,card,captured
pay_000021,payment,ORD4020,399900,7998,1440,390462,2026-08-12T19:40:00,setl_0002,card,captured
pay_000139,payment,ORD4138,89900,0,0,0,2026-08-12T20:20:00,,card,failed
pay_000155,payment,ORD4154,49950,999,180,48771,2026-08-12T21:44:00,setl_0002,card,captured
pay_000085,payment,ORD4084,49999,1000,180,48819,2026-08-12T21:59:00,setl_0002,card,captured
pay_000100,payment,ORD4099,75000,1350,243,73407,2026-08-13T08:33:00,setl_0003,wallet,captured
pay_000016,payment,ORD4015,1250000,25000,4500,1220500,2026-08-13T10:25:00,setl_0003,card,captured
pay_000002,payment,ORD4001,120000,0,0,120000,2026-08-13T10:51:00,setl_0003,upi,captured
pay_000049,payment,ORD4048,89999,1800,324,87875,2026-08-13T12:49:00,setl_0003,card,captured
pay_000111,payment,ORD4110,59900,0,0,59900,2026-08-13T15:27:00,setl_0003,upi,captured
pay_000091,payment,ORD4090,45000,0,0,45000,2026-08-13T18:24:00,setl_0003,upi,captured
