order_id,order_amount_paise,currency,order_datetime,customer_id,order_status,payment_method
ORD4004,1250000,INR,2026-08-10T08:12:00,CUST1237,paid,upi
ORD4012,29999,INR,2026-08-10T08:29:00,CUST1260,failed,upi
ORD4167,19900,INR,2026-08-10T10:12:00,CUST1060,paid,upi
ORD4016,19999,INR,2026-08-10T10:13:00,CUST1151,paid,upi
ORD4009,249900,INR,2026-08-10T11:13:00,CUST1362,paid,upi
ORD4183,49950,INR,2026-08-10T11:20:00,CUST1325,paid,upi
ORD4199,249900,INR,2026-08-10T11:38:00,CUST1092,refunded,card
ORD4035,19900,INR,2026-08-10T12:38:00,CUST1057,paid,wallet
ORD4164,399900,INR,2026-08-10T12:43:00,CUST1185,paid,card
ORD4014,1250000,INR,2026-08-10T12:55:00,CUST1010,paid,upi
ORD4054,75000,INR,2026-08-10T13:32:00,CUST1393,paid,card
ORD4082,59999,INR,2026-08-10T13:57:00,CUST1258,paid,card
ORD4094,89950,INR,2026-08-10T14:31:00,CUST1187,paid,card
ORD4107,89900,INR,2026-08-10T17:02:00,CUST1044,failed,upi
ORD4006,45050,INR,2026-08-10T18:05:00,CUST1042,paid,wallet
ORD4080,34900,INR,2026-08-10T18:44:00,CUST1184,paid,upi
ORD4169,29950,INR,2026-08-10T18:50:00,CUST1307,paid,wallet
ORD4121,24999,INR,2026-08-10T18:53:00,CUST1279,paid,upi
ORD4147,34999,INR,2026-08-10T21:54:00,CUST1321,paid,upi
ORD4192,399900,INR,2026-08-11T10:18:00,CUST1142,paid,upi
ORD4053,575000,INR,2026-08-11T12:34:00,CUST1367,paid,upi
ORD4033,49950,INR,2026-08-11T12:56:00,CUST1355,paid,wallet
ORD4122,24900,INR,2026-08-11T13:05:00,CUST1324,paid,upi
ORD4026,575000,INR,2026-08-11T13:08:00,CUST1353,paid,card
ORD4008,59900,INR,2026-08-11T14:06:00,CUST1350,paid,wallet
ORD4063,24999,INR,2026-08-11T15:05:00,CUST1206,refunded,upi
ORD4170,120099,INR,2026-08-11T15:22:00,CUST1384,paid,card
ORD4135,19900,INR,2026-08-11T15:55:00,CUST1197,paid,wallet
ORD4112,89900,INR,2026-08-11T15:56:00,CUST1290,paid,upi
ORD4144,249900,INR,2026-08-11T16:19:00,CUST1351,paid,upi
ORD4179,249900,INR,2026-08-11T16:36:00,CUST1372,paid,upi
ORD4089,45050,INR,2026-08-11T17:06:00,CUST1025,paid,upi
ORD4052,24900,INR,2026-08-11T19:55:00,CUST1199,failed,upi
ORD4058,89900,INR,2026-08-11T20:14:00,CUST1287,paid,netbanking
ORD4175,59900,INR,2026-08-11T21:28:00,CUST1053,paid,upi
ORD4068,34999,INR,2026-08-11T21:32:00,CUST1011,paid,netbanking
ORD4031,19950,INR,2026-08-11T21:54:00,CUST1319,paid,card
ORD4140,89900,INR,2026-08-12T09:22:00,CUST1355,paid,netbanking
ORD4041,34950,INR,2026-08-12T09:28:00,CUST1266,paid,upi
ORD4002,19999,INR,2026-08-12T09:34:00,CUST1231,paid,wallet
ORD4197,75099,INR,2026-08-12T09:38:00,CUST1366,paid,card
ORD4145,75000,INR,2026-08-12T09:42:00,CUST1006,paid,card
ORD4165,24950,INR,2026-08-12T10:38:00,CUST1092,paid,upi
ORD4074,19900,INR,2026-08-12T11:25:00,CUST1349,paid,upi
ORD4128,59900,INR,2026-08-12T11:47:00,CUST1199,paid,upi
ORD4133,45099,INR,2026-08-12T12:25:00,CUST1281,paid,wallet
ORD4103,75000,INR,2026-08-12T12:46:00,CUST1158,paid,upi
ORD4181,19900,INR,2026-08-12T13:44:00,CUST1160,paid,upi
ORD4186,899900,INR,2026-08-12T13:44:00,CUST1086,paid,upi
ORD4049,34900,INR,2026-08-12T14:54:00,CUST1369,paid,upi
ORD4190,24950,INR,2026-08-12T18:42:00,CUST1037,paid,netbanking
ORD4023,75099,INR,2026-08-12T19:04:00,CUST1315,paid,card
ORD4020,399900,INR,2026-08-12T19:40:00,CUST1198,paid,card
ORD4138,89900,INR,2026-08-12T20:20:00,CUST1317,failed,card
ORD4154,49950,INR,2026-08-12T21:44:00,CUST1372,paid,card
ORD4084,49999,INR,2026-08-12T21:59:00,CUST1392,paid,card
ORD4099,75000,INR,2026-08-13T08:33:00,CUST1125,paid,wallet
ORD4015,1250000,INR,2026-08-13T10:25:00,CUST1051,paid,card
ORD4001,120000,INR,2026-08-13T10:51:00,CUST1155,paid,upi
ORD4048,89999,INR,2026-08-13T12:49:00,CUST1387,paid,card
ORD4110,59900,INR,2026-08-13T15:27:00,CUST1334,paid,upi
ORD4132,75099,INR,2026-08-13T17:15:00,CUST1226,paid,upi
ORD4090,45000,INR,2026-08-13T18:24:00,CUST1174,paid,upi
ORD4039,34900,INR,2026-08-13T18:27:00,CUST1298,paid,upi
ORD4071,29900,INR,2026-08-13T19:40:00,CUST1099,paid,card
ORD4022,59999,INR,2026-08-13T19:45:00,CUST1266,refunded,upi
ORD4013,59900,INR,2026-08-13T19:49:00,CUST1108,paid,upi
ORD4076,19900,INR,2026-08-13T20:04:00,CUST1314,paid,card
ORD4045,24950,INR,2026-08-13T20:09:00,CUST1274,paid,upi
ORD4072,399900,INR,2026-08-13T20:12:00,CUST1067,paid,netbanking
ORD4187,34900,INR,2026-08-13T21:19:00,CUST1120,paid,upi
ORD4096,120000,INR,2026-08-14T08:00:00,CUST1209,refunded,card
ORD4028,24950,INR,2026-08-14T08:01:00,CUST1159,paid,upi
ORD4180,75050,INR,2026-08-14T08:20:00,CUST1203,paid,card
ORD4037,89900,INR,2026-08-14T10:43:00,CUST1175,paid,card
ORD4047,75099,INR,2026-08-14T10:45:00,CUST1091,paid,card
ORD4149,24900,INR,2026-08-14T11:12:00,CUST1140,paid,upi
ORD4064,49950,INR,2026-08-14T11:30:00,CUST1243,paid,netbanking
ORD4182,75000,INR,2026-08-14T13:31:00,CUST1354,paid,upi
ORD4171,899900,INR,2026-08-14T15:56:00,CUST1060,paid,card
ORD4055,24950,INR,2026-08-14T15:58:00,CUST1088,paid,card
ORD4139,120000,INR,2026-08-14T16:34:00,CUST1076,paid,upi
ORD4078,29950,INR,2026-08-14T18:06:00,CUST1049,paid,upi
ORD4130,29900,INR,2026-08-14T18:09:00,CUST1008,refunded,card
ORD4120,19999,INR,2026-08-14T20:01:00,CUST1151,failed,upi
ORD4043,45099,INR,2026-08-14T21:38:00,CUST1332,refunded,upi
ORD4011,24900,INR,2026-08-15T08:26:00,CUST1051,paid,upi
ORD4098,899900,INR,2026-08-15T09:51:00,CUST1128,failed,card
ORD4029,89900,INR,2026-08-15T10:04:00,CUST1377,paid,card
ORD4040,49900,INR,2026-08-15T11:08:00,CUST1141,refunded,card
ORD4156,75000,INR,2026-08-15T11:21:00,CUST1104,paid,card
ORD4161,575000,INR,2026-08-15T13:05:00,CUST1063,paid,upi
ORD4109,24900,INR,2026-08-15T13:31:00,CUST1319,paid,upi
ORD4079,49950,INR,2026-08-15T14:29:00,CUST1191,paid,upi
ORD4005,89900,INR,2026-08-15T15:37:00,CUST1255,paid,card
ORD4137,59999,INR,2026-08-15T15:50:00,CUST1212,paid,netbanking
ORD4101,75000,INR,2026-08-15T16:09:00,CUST1233,paid,card
ORD4018,120050,INR,2026-08-15T17:29:00,CUST1069,failed,netbanking
ORD4118,34999,INR,2026-08-15T18:25:00,CUST1199,paid,upi
ORD4115,24900,INR,2026-08-15T18:46:00,CUST1291,paid,card
ORD4067,75000,INR,2026-08-15T19:22:00,CUST1298,refunded,upi
ORD4075,89900,INR,2026-08-15T21:23:00,CUST1351,paid,upi
ORD4173,575000,INR,2026-08-16T08:20:00,CUST1221,failed,card
ORD4017,120000,INR,2026-08-16T09:04:00,CUST1188,paid,upi
ORD4093,29950,INR,2026-08-16T10:24:00,CUST1305,paid,upi
ORD4050,19950,INR,2026-08-16T10:28:00,CUST1334,paid,card
ORD4019,34999,INR,2026-08-16T10:40:00,CUST1097,paid,upi
ORD4142,75000,INR,2026-08-16T11:58:00,CUST1211,paid,upi
ORD4010,34900,INR,2026-08-16T14:04:00,CUST1159,paid,upi
ORD4153,59999,INR,2026-08-16T14:49:00,CUST1105,paid,upi
ORD4129,19950,INR,2026-08-16T16:18:00,CUST1058,paid,upi
ORD4088,24950,INR,2026-08-16T16:31:00,CUST1011,paid,wallet
ORD4148,49950,INR,2026-08-16T16:47:00,CUST1044,paid,card
ORD4178,249900,INR,2026-08-16T17:07:00,CUST1066,paid,upi
ORD4155,34999,INR,2026-08-16T17:44:00,CUST1133,paid,upi
ORD4069,120000,INR,2026-08-16T18:26:00,CUST1323,paid,upi
ORD4146,45099,INR,2026-08-16T19:45:00,CUST1395,paid,upi
ORD4117,24900,INR,2026-08-16T19:57:00,CUST1012,paid,card
ORD4085,29900,INR,2026-08-16T20:11:00,CUST1154,paid,card
ORD4086,1250000,INR,2026-08-17T09:00:00,CUST1139,paid,upi
ORD4141,89900,INR,2026-08-17T09:47:00,CUST1096,paid,upi
ORD4025,45000,INR,2026-08-17T11:03:00,CUST1067,paid,upi
ORD4061,89900,INR,2026-08-17T11:26:00,CUST1014,paid,card
ORD4021,24900,INR,2026-08-17T17:05:00,CUST1130,paid,upi
ORD4152,34900,INR,2026-08-17T17:45:00,CUST1063,refunded,upi
ORD4042,120050,INR,2026-08-17T18:20:00,CUST1016,paid,upi
ORD4162,120099,INR,2026-08-17T19:08:00,CUST1032,paid,upi
ORD4036,75000,INR,2026-08-17T20:39:00,CUST1188,paid,netbanking
ORD4134,59900,INR,2026-08-17T21:16:00,CUST1395,refunded,card
ORD4000,899900,INR,2026-08-17T21:35:00,CUST1300,paid,upi
