settlement_id,capture_date,payout_date,total_paise,utr
setl_0000,2026-08-10,2026-08-11,2632634,RZP364151244
setl_0001,2026-08-11,2026-08-12,2666685,RZP655343885
setl_0002,2026-08-12,2026-08-13,1778521,RZP415313618
setl_0003,2026-08-13,2026-08-14,2267939,RZP740776085
setl_0004,2026-08-14,2026-08-17,1545802,RZP317372714
setl_0005,2026-08-15,2026-08-17,1252832,RZP492729273
setl_0006,2026-08-16,2026-08-17,790672,RZP757984283
setl_0007,2026-08-17,2026-08-18,2731947,RZP991992382
setl_0008,2026-08-18,2026-08-19,4336261,RZP780033288
setl_0009,2026-08-19,2026-08-20,3346069,RZP633807200
setl_0010,2026-08-20,2026-08-21,1141929,RZP560044938
setl_0011,2026-08-21,2026-08-24,-217600,RZP624406222
setl_0012,2026-08-22,2026-08-24,-89900,RZP599058708
setl_0013,2026-08-23,2026-08-24,-134699,RZP867210823
setl_0014,2026-09-01,2026-09-02,-134000,RZP111368243
setl_0015,2026-09-02,2026-09-03,-108950,RZP646379789
setl_0016,2026-09-07,2026-09-08,-134000,RZP883856064
setl_0017,2026-09-08,2026-09-09,-177850,RZP433762636
setl_0018,2026-09-10,2026-09-11,-83950,RZP182519617
setl_0019,2026-09-13,2026-09-14,-118999,RZP212626946
setl_0020,2026-09-14,2026-09-15,-93900,RZP792226361
setl_0021,2026-09-15,2026-09-16,-1309000,RZP198135849
