bank_txn_id,value_date,description,credit_paise,debit_paise,balance_paise,utr
BNK000002,2026-08-12,NEFT-CR-HDFC0000123-RZPYSETTL-RZP 7821 23826,1550878,,26860974,
BNK000004,2026-08-14,NEFT-CR-HDFC0000123-RZPYSETTL-RZP 0936 72430,1009972,,30504396,
BNK000005,2026-08-14,IMPS/RZP974668741/RAZORPAY/SETTLEMENT,150000,,30654396,RZP974668741
BNK000006,2026-08-15,NEFT CR-UTIB0000789-RAZORPAY SOFTWARE PVT LTD-RZP919252682,275000,,30929396,RZP919252682
BNK000007,2026-08-16,IMPS/RZP645962581/RAZORPAY/SETTLEMENT,150000,,31079396,RZP645962581
BNK000009,2026-08-17,NEFT CR-ICIC0000456-RAZORPAY SOFTWARE PVT LTD-RZP851420521,3027551,,34096625,RZP851420521
BNK000010,2026-08-17,IMPS/RZP599417150/RAZORPAY/SETTLEMENT,,135798,33960827,RZP599417150
BNK000011,2026-08-18,IMPS/RZP954259425/RAZORPAY/SETTLEMENT,1637946,,35598773,RZP954259425
BNK000012,2026-08-18,NEFT CR-UTIB0000789-RAZORPAY SOFTWARE PVT LTD-RZP267158306,420000,,36018773,RZP267158306
BNK000013,2026-08-18,NEFT-RZP615797748-RAZORPAY SOFTWARE PRIVATE LIMITED,150000,,36168773,RZP615797748
BNK000014,2026-08-18,NEFT CR-ICIC0000456-RAZORPAY SOFTWARE PVT LTD-RZP901006748,420000,,36588773,RZP901006748
BNK000015,2026-08-19,NEFT-RZP936938510-RAZORPAY SOFTWARE PRIVATE LIMITED,,886655,35702118,RZP936938510
BNK000016,2026-08-19,NEFT CR-ICIC0000456-RAZORPAY SOFTWARE PVT LTD-RZP001837131,150000,,35852118,RZP001837131
BNK000017,2026-08-20,NEFT-RZP944955272-RAZORPAY SOFTWARE PRIVATE LIMITED,233820,,36085938,RZP944955272
BNK000018,2026-08-20,ACH C- RAZORPAY SOFT PVT LTD-RZP651448228-COLLECT,275000,,36360938,
BNK000019,2026-08-21,TRF FROM RAZORPAY SOFTWARE PVT LTD,150594,,36511532,
BNK000020,2026-08-24,IMPS/RZP110468161/RAZORPAY/SETTLEMENT,940157,,37451689,RZP110468161
BNK000021,2026-08-24,IMPS/RZP523071735/RAZORPAY/SETTLEMENT,,109799,37341890,RZP523071735
BNK000022,2026-08-24,NEFT CR-UTIB0000789-RAZORPAY SOFTWARE PVT LTD-RZP648923814,,180049,37161841,RZP648923814
BNK000023,2026-08-26,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-RZP491677093,,312400,36849441,RZP491677093
BNK000025,2026-09-07,NEFT CR-ICIC0000456-RAZORPAY SOFTWARE PVT LTD-RZP671407780,,1376750,35368641,RZP671407780
BNK000026,2026-09-07,NEFT-RZP541298286-RAZORPAY SOFTWARE PRIVATE LIMITED,,947099,34421542,RZP541298286
BNK000027,2026-09-08,NEFT CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-RZP362206575,,93900,34327642,RZP362206575
BNK000028,2026-09-09,TRF FROM RAZORPAY SOFTWARE PVT LTD,,104000,34223642,
BNK000029,2026-09-11,IMPS/RZP281007144/RAZORPAY/SETTLEMENT,,212949,34010693,RZP281007144
BNK000030,2026-09-15,IMPS/RZP845077686/RAZORPAY/SETTLEMENT,,93900,33916793,RZP845077686
