txn_id,txn_type,order_ref,gross_amount_paise,fee_paise,gst_on_fee_paise,net_amount_paise,txn_datetime,settlement_id,payment_method,status
pay_000036,payment,ORD4035,120000,2550,432,117018,2026-08-10T14:29:00,setl_0000,card,captured
pay_000145,payment,ORD4144,45099,0,0,0,2026-08-10T15:33:00,,wallet,failed
pay_000061,payment,ORD4060,24900,0,0,24900,2026-08-10T16:06:00,setl_0000,upi,refunded
pay_000087,payment,ORD4086,75050,1501,270,73279,2026-08-10T18:15:00,setl_0000,card,refunded
pay_000117,payment,ORD4116,45000,1,0,44999,2026-08-10T18:49:00,setl_0000,upi,captured
pay_000149,payment,ORD4148,49900,0,0,49900,2026-08-10T21:48:00,setl_0000,upi,refunded
pay_000132,payment,ORD4131,24900,0,0,24900,2026-08-11T08:12:00,setl_0001,upi,refunded
pay_000143,payment,ORD4142,49900,0,0,0,2026-08-11T08:52:00,,upi,failed
pay_000090,payment,ORD4089,399900,7998,1440,390462,2026-08-11T09:34:00,setl_0001,card,captured
pay_000078,payment,ORD4077,45000,0,0,45000,2026-08-11T12:52:00,setl_0001,upi,captured
pay_000008,payment,ORD4007,120000,2399,432,117169,2026-08-11T13:19:00,setl_0001,card,captured
rfnd_000174,refund,ORD4060,-24900,0,0,-24900,2026-08-11T16:06:00,setl_0001,upi,processed
pay_000068,payment,ORD4067,59950,0,0,59950,2026-08-11T16:38:00,setl_0001,upi,refunded
rfnd_000152,refund,ORD4086,-75050,0,0,-75050,2026-08-11T18:15:00,setl_0001,card,processed
pay_000125,payment,ORD4124,34900,697,126,34077,2026-08-11T18:26:00,setl_0001,card,captured
pay_000062,payment,ORD4061,399900,1,0,399899,2026-08-11T19:25:00,setl_0001,upi,captured
pay_000069,payment,ORD4068,59900,0,0,0,2026-08-11T20:33:00,,netbanking,failed
pay_000099,payment,ORD4098,29900,0,0,29900,2026-08-11T20:51:00,setl_0001,upi,refunded
pay_000059,payment,ORD4058,24900,448,81,24371,2026-08-11T21:07:00,setl_0001,wallet,refunded
pay_000123,payment,ORD4122,575000,0,0,575000,2026-08-11T21:44:00,setl_0001,upi,captured
rfnd_000167,refund,ORD4148,-49900,0,0,-49900,2026-08-11T21:48:00,setl_0001,upi,processed
pay_000081,payment,ORD4080,120000,0,0,0,2026-08-12T08:12:00,,card,failed
rfnd_000165,refund,ORD4131,-24900,0,0,-24900,2026-08-12T08:12:00,setl_0002,upi,processed
pay_000005,payment,ORD4004,34900,1350,216,33334,2026-08-12T08:55:00,setl_0002,netbanking,captured
pay_000035,payment,ORD4034,49900,500,0,49400,2026-08-12T08:57:00,setl_0002,upi,captured
pay_000128,payment,ORD4127,120099,0,0,120099,2026-08-12T09:18:00,setl_0002,upi,captured
pay_000080,payment,ORD4079,45050,0,0,0,2026-08-12T09:50:00,,card,failed
pay_000094,payment,ORD4093,34900,923,126,33851,2026-08-12T10:34:00,setl_0002,card,captured
pay_000100,payment,ORD4099,45000,0,0,45000,2026-08-12T12:31:00,setl_0002,upi,captured
pay_000210,payment,ORD4099,45000,0,0,45000,2026-08-12T12:33:50,,upi,voided
pay_000022,payment,ORD4021,575000,0,0,575000,2026-08-12T16:29:00,setl_0002,upi,captured
pay_000106,payment,ORD4105,1250000,0,0,0,2026-08-12T16:30:00,,upi,failed
pay_000142,payment,ORD4141,34900,0,0,0,2026-08-12T16:54:00,,upi,failed
pay_000104,payment,ORD4103,59950,0,0,59950,2026-08-12T18:45:00,setl_0002,upi,captured
pay_000067,payment,ORD4066,24999,500,90,24409,2026-08-12T19:01:00,setl_0002,card,captured
pay_000203,payment,ORD4066,24999,500,90,24409,2026-08-12T19:04:17,,card,voided
pay_000048,payment,ORD4047,120050,1,0,120049,2026-08-12T19:18:00,setl_0002,upi,captured
pay_000089,payment,ORD4088,34999,0,0,34999,2026-08-12T19:32:00,setl_0002,upi,refunded
pay_000020,payment,ORD4019,899900,150,0,899750,2026-08-12T19:36:00,setl_0002,upi,captured
pay_000017,payment,ORD4016,75000,1500,270,73230,2026-08-12T19:44:00,setl_0002,card,refunded
pay_000122,payment,ORD4121,34999,0,0,0,2026-08-12T20:41:00,,upi,failed
rfnd_000157,refund,ORD4058,-24900,0,0,-24900,2026-08-12T21:07:00,setl_0002,wallet,processed
pay_000111,payment,ORD4110,19900,0,0,19900,2026-08-12T21:15:00,setl_0002,upi,refunded
pay_000130,payment,ORD4129,575000,1,0,574999,2026-08-12T21:33:00,setl_0002,upi,captured
pay_000098,payment,ORD4097,19900,548,72,19280,2026-08-12T21:44:00,setl_0002,card,captured
pay_000135,payment,ORD4134,75000,0,0,0,2026-08-13T11:20:00,,upi,failed
pay_000124,payment,ORD4123,120000,1200,216,118584,2026-08-13T12:19:00,setl_0003,netbanking,captured
pay_000213,payment,ORD4123,120000,1200,216,118584,2026-08-13T12:21:05,,netbanking,voided
pay_000127,payment,ORD4126,120000,225,0,119775,2026-08-13T12:26:00,setl_0003,upi,captured
pay_000015,payment,ORD4014,29900,0,0,29900,2026-08-13T13:32:00,setl_0003,upi,captured
pay_000209,payment,ORD4014,29900,0,0,29900,2026-08-13T13:32:26,,upi,voided
pay_000121,payment,ORD4120,59900,1348,216,58336,2026-08-13T13:50:00,setl_0003,card,captured
pay_000007,payment,ORD4006,59900,1078,194,58628,2026-08-13T14:19:00,setl_0003,wallet,captured
pay_000212,payment,ORD4006,59900,1078,194,58628,2026-08-13T14:19:50,,wallet,voided
rfnd_000179,refund,ORD4021,-287500,0,0,-287500,2026-08-13T16:29:00,setl_0003,upi,processed
pay_000091,payment,ORD4090,49950,1,0,49949,2026-08-13T17:01:00,setl_0003,upi,captured
pay_000002,payment,ORD4001,249900,0,0,249900,2026-08-13T18:03:00,setl_0003,upi,captured
pay_000031,payment,ORD4030,899900,0,0,899900,2026-08-13T21:23:00,setl_0003,upi,captured
rfnd_000180,refund,ORD4122,-287500,0,0,-287500,2026-08-13T21:44:00,setl_0003,upi,processed
pay_000026,payment,ORD4025,45050,0,0,45050,2026-08-14T13:35:00,setl_0004,upi,captured
pay_000028,payment,ORD4027,45099,0,0,0,2026-08-14T13:42:00,,card,failed
pay_000109,payment,ORD4108,34900,0,0,34900,2026-08-14T16:33:00,setl_0004,upi,captured
rfnd_000164,refund,ORD4067,-59950,0,0,-59950,2026-08-14T16:38:00,setl_0004,upi,processed
pay_000102,payment,ORD4101,59900,0,0,0,2026-08-14T17:01:00,,upi,failed
pay_000141,payment,ORD4140,45000,0,0,0,2026-08-14T18:46:00,,card,failed
pay_000119,payment,ORD4118,24900,0,0,0,2026-08-14T19:15:00,,netbanking,failed
rfnd_000155,refund,ORD4098,-29900,0,0,-29900,2026-08-14T20:51:00,setl_0004,upi,processed
rfnd_000173,refund,ORD4110,-19900,0,0,-19900,2026-08-14T21:15:00,setl_0004,upi,processed
pay_000088,payment,ORD4087,19900,358,64,19478,2026-08-14T21:26:00,setl_0004,wallet,captured
pay_000103,payment,ORD4102,29900,0,0,29900,2026-08-15T08:10:00,setl_0005,upi,captured
pay_000096,payment,ORD4095,49950,0,0,0,2026-08-15T09:04:00,,card,failed
pay_000009,payment,ORD4008,45050,0,0,0,2026-08-15T09:19:00,,card,failed
rfnd_000178,refund,ORD4089,-199900,0,0,-199900,2026-08-15T09:34:00,setl_0005,card,processed
pay_000021,payment,ORD4020,45000,0,0,0,2026-08-15T10:03:00,,upi,failed
pay_000006,payment,ORD4005,399900,-1,0,399901,2026-08-15T11:34:00,setl_0005,upi,captured
pay_000045,payment,ORD4044,399900,0,0,0,2026-08-15T12:31:00,,upi,failed
pay_000029,payment,ORD4028,59900,1200,216,58484,2026-08-15T12:41:00,setl_0005,netbanking,refunded
pay_000139,payment,ORD4138,75000,0,0,0,2026-08-15T14:09:00,,card,failed
pay_000013,payment,ORD4012,575000,11500,2070,561430,2026-08-15T16:22:00,setl_0005,card,captured
pay_000129,payment,ORD4128,49900,-1,0,49901,2026-08-15T17:06:00,setl_0005,upi,captured
pay_000039,payment,ORD4038,399900,225,0,399675,2026-08-15T17:18:00,setl_0005,upi,captured
pay_000118,payment,ORD4117,899900,225,0,899675,2026-08-15T17:37:00,setl_0005,upi,captured
pay_000063,payment,ORD4062,49900,1200,216,48484,2026-08-15T18:38:00,setl_0005,netbanking,refunded
rfnd_000163,refund,ORD4088,-34999,0,0,-34999,2026-08-15T19:32:00,setl_0005,upi,processed
rfnd_000154,refund,ORD4016,-75000,0,0,-75000,2026-08-15T19:44:00,setl_0005,card,processed
pay_000077,payment,ORD4076,899900,0,0,899900,2026-08-15T21:24:00,setl_0005,upi,captured
rfnd_000177,refund,ORD4087,-9900,0,0,-9900,2026-08-15T21:26:00,setl_0005,wallet,processed
pay_000011,payment,ORD4010,49950,999,180,48771,2026-08-16T08:35:00,setl_0006,card,captured
pay_000074,payment,ORD4073,29900,500,0,29400,2026-08-16T09:06:00,setl_0006,upi,captured
pay_000004,payment,ORD4003,29999,600,108,29291,2026-08-16T10:48:00,setl_0006,card,refunded
rfnd_000151,refund,ORD4028,-59900,0,0,-59900,2026-08-16T12:41:00,setl_0006,netbanking,processed
pay_000076,payment,ORD4075,34900,698,126,34076,2026-08-16T13:29:00,setl_0006,card,captured
pay_000003,payment,ORD4002,19900,0,0,19900,2026-08-16T16:06:00,setl_0006,upi,refunded
pay_000092,payment,ORD4091,19900,399,72,19429,2026-08-16T16:40:00,setl_0006,card,captured
pay_000055,payment,ORD4054,75000,-1,0,75001,2026-08-16T17:18:00,setl_0006,upi,captured
pay_000107,payment,ORD4106,19900,1199,216,18485,2026-08-16T18:03:00,setl_0006,netbanking,captured
rfnd_000156,refund,ORD4062,-49900,0,0,-49900,2026-08-16T18:38:00,setl_0006,netbanking,processed
pay_000082,payment,ORD4081,29950,500,0,29450,2026-08-16T19:23:00,setl_0006,upi,captured
pay_000150,payment,ORD4149,399900,0,0,0,2026-08-16T21:04:00,,upi,failed
pay_000073,payment,ORD4072,120099,0,0,120099,2026-08-16T21:23:00,setl_0006,upi,captured
rfnd_000189,refund,ORD4076,-449900,0,0,-449900,2026-08-16T21:24:00,setl_0006,upi,processed
pay_000012,payment,ORD4011,34900,699,126,34075,2026-08-17T08:45:00,setl_0007,card,captured
pay_000060,payment,ORD4059,59900,0,0,59900,2026-08-17T10:11:00,setl_0007,upi,captured
rfnd_000170,refund,ORD4003,-29999,0,0,-29999,2026-08-17T10:48:00,setl_0007,card,processed
pay_000105,payment,ORD4104,29950,225,0,29725,2026-08-17T11:29:00,setl_0007,upi,captured
pay_000043,payment,ORD4042,899900,0,0,899900,2026-08-17T12:30:00,setl_0007,upi,refunded
pay_000136,payment,ORD4135,120000,-1,0,120001,2026-08-17T14:00:00,setl_0007,upi,captured
pay_000137,payment,ORD4136,249900,0,0,249900,2026-08-17T14:21:00,setl_0007,upi,refunded
pay_000144,payment,ORD4143,19900,0,0,19900,2026-08-17T14:55:00,setl_0007,upi,refunded
pay_000023,payment,ORD4022,59999,1080,194,58725,2026-08-17T14:57:00,setl_0007,wallet,refunded
pay_000010,payment,ORD4009,45000,1310,146,43544,2026-08-17T15:45:00,setl_0007,wallet,captured
rfnd_000183,refund,ORD4108,-17400,0,0,-17400,2026-08-17T16:33:00,setl_0007,upi,processed
pay_000047,payment,ORD4046,75000,0,0,75000,2026-08-17T16:35:00,setl_0007,upi,captured
pay_000034,payment,ORD4033,29900,0,0,0,2026-08-17T17:41:00,,wallet,failed
pay_000019,payment,ORD4018,19950,225,0,19725,2026-08-17T18:26:00,setl_0007,upi,captured
pay_000075,payment,ORD4074,59950,0,0,59950,2026-08-17T18:48:00,setl_0007,upi,refunded
pay_000108,payment,ORD4107,75000,0,0,75000,2026-08-17T19:56:00,setl_0007,upi,captured
pay_000024,payment,ORD4023,75000,0,0,75000,2026-08-17T21:21:00,,upi,captured
rfnd_000182,refund,ORD4072,-60000,0,0,-60000,2026-08-17T21:23:00,setl_0007,upi,processed
rfnd_000184,refund,ORD4102,-14900,0,0,-14900,2026-08-18T08:10:00,setl_0008,upi,processed
pay_000093,payment,ORD4092,24900,498,90,24312,2026-08-18T09:08:00,,card,captured
pay_000016,payment,ORD4015,45000,900,162,43938,2026-08-18T09:19:00,,card,captured
rfnd_000169,refund,ORD4042,-899900,0,0,-899900,2026-08-18T12:30:00,setl_0008,upi,processed
pay_000038,payment,ORD4037,45000,0,0,45000,2026-08-18T13:02:00,setl_0008,upi,captured
pay_000025,payment,ORD4024,49999,1000,180,48819,2026-08-18T13:04:00,setl_0008,card,captured
pay_000211,payment,ORD4037,45000,0,0,45000,2026-08-18T13:04:05,,upi,voided
rfnd_000159,refund,ORD4143,-19900,0,0,-19900,2026-08-18T14:55:00,setl_0008,upi,processed
rfnd_000172,refund,ORD4002,-19900,0,0,-19900,2026-08-18T16:06:00,setl_0008,upi,processed
pay_000113,payment,ORD4112,59900,0,0,59900,2026-08-18T17:05:00,,upi,captured
pay_000065,payment,ORD4064,89900,0,0,89900,2026-08-18T17:14:00,,upi,captured
rfnd_000161,refund,ORD4074,-59950,0,0,-59950,2026-08-18T18:48:00,setl_0008,upi,processed
pay_000057,payment,ORD4056,34900,698,126,34076,2026-08-18T20:03:00,setl_0008,card,captured
pay_000051,payment,ORD4050,89950,1949,324,87677,2026-08-19T10:02:00,setl_0009,card,captured
rfnd_000176,refund,ORD4059,-29900,0,0,-29900,2026-08-19T10:11:00,setl_0009,upi,processed
pay_000050,payment,ORD4049,75000,0,0,75000,2026-08-19T12:46:00,,upi,captured
pay_000001,payment,ORD4000,89900,1350,216,88334,2026-08-19T12:47:00,setl_0009,netbanking,captured
rfnd_000160,refund,ORD4136,-249900,0,0,-249900,2026-08-19T14:21:00,setl_0009,upi,processed
pay_000042,payment,ORD4041,120050,0,0,120050,2026-08-19T16:09:00,setl_0009,upi,captured
