order_id,order_amount_paise,currency,order_datetime,customer_id,order_status,payment_method
ORD4096,399900,INR,2026-08-10T12:41:00,CUST1226,paid,card
ORD4035,120000,INR,2026-08-10T14:29:00,CUST1121,paid,card
ORD4144,45099,INR,2026-08-10T15:33:00,CUST1351,failed,wallet
ORD4060,24900,INR,2026-08-10T16:06:00,CUST1294,refunded,upi
ORD4086,75050,INR,2026-08-10T18:15:00,CUST1024,refunded,card
ORD4116,45000,INR,2026-08-10T18:49:00,CUST1044,paid,upi
ORD4148,49900,INR,2026-08-10T21:48:00,CUST1097,refunded,upi
ORD4131,24900,INR,2026-08-11T08:12:00,CUST1188,refunded,upi
ORD4142,49900,INR,2026-08-11T08:52:00,CUST1287,failed,upi
ORD4089,399900,INR,2026-08-11T09:34:00,CUST1373,paid,card
ORD4077,45000,INR,2026-08-11T12:52:00,CUST1016,paid,upi
ORD4007,120000,INR,2026-08-11T13:19:00,CUST1362,paid,card
ORD4067,59950,INR,2026-08-11T16:38:00,CUST1165,refunded,upi
ORD4124,34900,INR,2026-08-11T18:26:00,CUST1320,paid,card
ORD4061,399900,INR,2026-08-11T19:25:00,CUST1046,paid,upi
ORD4068,59900,INR,2026-08-11T20:33:00,CUST1219,failed,netbanking
ORD4098,29900,INR,2026-08-11T20:51:00,CUST1086,refunded,upi
ORD4058,24900,INR,2026-08-11T21:07:00,CUST1361,refunded,wallet
ORD4122,575000,INR,2026-08-11T21:44:00,CUST1051,paid,upi
ORD4080,120000,INR,2026-08-12T08:12:00,CUST1316,failed,card
ORD4004,34900,INR,2026-08-12T08:55:00,CUST1148,paid,netbanking
ORD4034,49900,INR,2026-08-12T08:57:00,CUST1280,paid,upi
ORD4127,120099,INR,2026-08-12T09:18:00,CUST1097,paid,upi
ORD4079,45050,INR,2026-08-12T09:50:00,CUST1373,failed,card
ORD4093,34900,INR,2026-08-12T10:34:00,CUST1295,paid,card
ORD4099,45000,INR,2026-08-12T12:31:00,CUST1391,paid,upi
ORD4021,575000,INR,2026-08-12T16:29:00,CUST1149,paid,upi
ORD4105,1250000,INR,2026-08-12T16:30:00,CUST1064,failed,upi
ORD4141,34900,INR,2026-08-12T16:54:00,CUST1066,failed,upi
ORD4103,59950,INR,2026-08-12T18:45:00,CUST1162,paid,upi
ORD4066,24999,INR,2026-08-12T19:01:00,CUST1046,paid,card
ORD4047,120050,INR,2026-08-12T19:18:00,CUST1309,paid,upi
ORD4088,34999,INR,2026-08-12T19:32:00,CUST1160,refunded,upi
