settlement_id,capture_date,payout_date,total_paise,utr
setl_0000,2026-08-10,2026-08-11,310096,RZP912459564
setl_0001,2026-08-11,2026-08-12,1550878,RZP782123826
setl_0002,2026-08-12,2026-08-13,2633450,RZP691731685
setl_0003,2026-08-13,2026-08-14,1009972,RZP093672430
setl_0004,2026-08-14,2026-08-17,-10322,RZP074803197
setl_0005,2026-08-15,2026-08-17,3027551,RZP851420521
setl_0006,2026-08-16,2026-08-17,-135798,RZP599417150
setl_0007,2026-08-17,2026-08-18,1637946,RZP954259425
setl_0008,2026-08-18,2026-08-19,-886655,RZP936938510
setl_0009,2026-08-19,2026-08-20,233820,RZP944955272
setl_0010,2026-08-20,2026-08-21,150594,RZP476126719
setl_0011,2026-08-21,2026-08-24,940157,RZP110468161
setl_0012,2026-08-22,2026-08-24,-109799,RZP523071735
setl_0013,2026-08-23,2026-08-24,-180049,RZP648923814
setl_0014,2026-08-25,2026-08-26,-312400,RZP491677093
setl_0015,2026-09-01,2026-09-02,-104050,RZP864863757
setl_0016,2026-09-04,2026-09-07,-1376750,RZP671407780
setl_0017,2026-09-06,2026-09-07,-947099,RZP541298286
setl_0018,2026-09-07,2026-09-08,-93900,RZP362206575
setl_0019,2026-09-08,2026-09-09,-104000,RZP437357460
setl_0020,2026-09-10,2026-09-11,-212949,RZP281007144
setl_0021,2026-09-14,2026-09-15,-93900,RZP845077686
